grid_cell,period,corrected_richness_mean,shannon_mean,inv_simpson_mean,trait_volume_mean,trait_dispersion_mean,rao_q_mean,feve_mean,fdiv_mean,pd_prob_mean,mpd_prob_mean,corrected_richness_sd,shannon_sd,inv_simpson_sd,trait_volume_sd,trait_dispersion_sd,rao_q_sd,feve_sd,fdiv_sd,pd_prob_sd,mpd_prob_sd,corrected_richness_q025,shannon_q025,inv_simpson_q025,trait_volume_q025,trait_dispersion_q025,rao_q_q025,feve_q025,fdiv_q025,pd_prob_q025,mpd_prob_q025,corrected_richness_q975,shannon_q975,inv_simpson_q975,trait_volume_q975,trait_dispersion_q975,rao_q_q975,feve_q975,fdiv_q975,pd_prob_q975,mpd_prob_q975
342,P1,83.0777964109827,4.637802362920959,96.85615629515549,1.3133195150347896,1.1737481999911534,1.5875848285947833,0.16370505951450978,0.7222573755642955,NA,NA,2.0249932519295406,0.016999134218167792,1.9072142291065188,0.014656442426891937,0.01644903193377797,0.020548513218588013,0.0022605387797968632,0.004390928140883697,NA,NA,78.79919981360823,4.601405245990779,92.42210285043608,1.288372259448436,1.1415757652626033,1.5477452667865226,0.15903489270482937,0.71325374440087,NA,NA,86.73272235097768,4.665697567563075,100.11500625043388,1.3409538769416536,1.2091894499932923,1.6325728330371645,0.1673542517264177,0.7317078301585022,NA,NA
343,P1,91.52682679935505,4.705109735836657,104.4696173097106,1.3305224356573737,1.1958058990061355,1.6177044825806932,0.1659348636409511,0.7170509045422895,NA,NA,2.0126780608111456,0.01558924487297802,1.9106632341157022,0.012749052018724508,0.014639226751936595,0.01829190495578432,0.0017863386962988297,0.004312242572377871,NA,NA,87.09421444501315,4.67128931523483,100.44805466935215,1.3041599718752979,1.1684499324617668,1.5838124701875798,0.1620606356543292,0.7083834471696264,NA,NA,95.3321688338197,4.733839487663255,107.72775339407178,1.3528743938675207,1.2240031292059073,1.6510131133898855,0.16926943932655517,0.7255419451448646,NA,NA
344,P1,87.69550182764374,4.6986338190112855,103.04719850231211,1.3219218290141317,1.188696009298204,1.6055937300802554,0.16493522194852556,0.7156444209601959,NA,NA,1.6875502172009003,0.013534864293246705,1.6322120353966931,0.010952366829898872,0.011922021331666385,0.015368936370330582,0.001949272116907409,0.0031765942063065227,NA,NA,84.2861767197482,4.672213443565267,99.73957738357285,1.3016353607229445,1.1674670758012025,1.578474702794011,0.16102087200222384,0.7094374973883554,NA,NA,90.77626447959524,4.722590779924677,106.09555820269696,1.34318448499125,1.2099297772716617,1.6350969526612993,0.16866915181975153,0.7221945080779988,NA,NA
345,P1,80.02401200292128,4.642545105768141,96.57477579836092,1.3157755115396579,1.1867213118804627,1.5950952833930985,0.15909965015167446,0.7116586354836549,NA,NA,1.580924334656251,0.012359684516350803,1.4125727701186819,0.012146332018923027,0.013223431451047582,0.01715905146781448,0.001935063116403599,0.003310726916048249,NA,NA,77.46857676453537,4.620730557366446,94.05938137183642,1.2899272696968616,1.1571042293311364,1.5581125435727627,0.15553889833379306,0.706117829932208,NA,NA,83.09079017862328,4.665984931148891,99.15264292933422,1.3395918822808945,1.2124908731673514,1.629449402192391,0.16253838949099375,0.7179350499297478,NA,NA
347,P1,84.82194626554157,4.678576880440744,101.01051655794406,1.3145121498956995,1.1858227818819178,1.5942482955623654,0.1629430205659086,0.7124437940584633,NA,NA,1.2119764895638456,0.009472781201043284,1.1517177852444243,0.009958038109566308,0.010457648861183498,0.013794826164034562,0.001436614514628729,0.0026377363544342635,NA,NA,82.83108891954691,4.66052888234784,99.01207030571852,1.293672794049963,1.1656383040777123,1.5666628924907167,0.16009261838476313,0.707380866692074,NA,NA,87.24599721337893,4.6967547567413455,103.30381612802871,1.3326334709868675,1.205895659263038,1.6199529989485315,0.16547721814462307,0.7173309614196055,NA,NA
412,P1,87.63989638332924,4.729722050244358,105.48008225323397,1.3300159902029853,1.197979506299923,1.6185200491578133,0.1646362823252654,0.7129640859226609,NA,NA,1.3995172674806662,0.011122327242189737,1.353096472288202,0.009383482085309258,0.010097979422107266,0.013254074077834695,0.0016807908903238385,0.002670274282502967,NA,NA,85.18076698567376,4.708017360279483,102.88658533556803,1.311886569232036,1.1776072022320907,1.5924122851216727,0.16045462388055376,0.7076116312561415,NA,NA,90.25195773413749,4.748271385187167,107.83452638134415,1.3455821424385124,1.2156897805370597,1.6416185057526644,0.1669665237207532,0.7181227592286883,NA,NA
413,P1,92.29046676015142,4.80275047519092,112.61151452282539,1.3551089972850734,1.2265009739307293,1.6579210962004913,0.16823094710214642,0.7052060260972919,NA,NA,1.4763543002971573,0.012576328568540409,1.6468270008304209,0.00930246332448244,0.00984417834848448,0.013198618333443617,0.001883253122709543,0.0025708906129679908,NA,NA,89.52993945808805,4.775926745926921,109.39281862198746,1.3387311039291876,1.2093709072948873,1.6360169864807783,0.16481294897888968,0.7002968297074321,NA,NA,94.93624338478672,4.824714099031802,115.8430311121304,1.3725799112591444,1.2463844864119649,1.6821428674744012,0.17170318315650931,0.7102707505060479,NA,NA
414,P1,94.14042578673518,4.815552431484928,114.34925592520854,1.352684503398284,1.2241123414644044,1.654849938040726,0.17003773938433506,0.7055821530539752,NA,NA,1.3504387815358088,0.011284591155024918,1.4878186020801791,0.00881055357520184,0.009219393614964032,0.012462339603898854,0.0018964375669479434,0.00252610698241863,NA,NA,91.57983015089144,4.79321672088153,111.36348533082057,1.3368122398617759,1.2086135100740867,1.6332699200332472,0.16657192907573343,0.7008035259308962,NA,NA,96.52269969475329,4.834014520882515,116.92569095594108,1.368996523492439,1.2412312019381324,1.6778755888802452,0.17361432816199548,0.7113523349994745,NA,NA
415,P1,90.04353538802243,4.796807188381676,111.16805493830236,1.3483825597463557,1.2221588373270937,1.6512759447738117,0.16873239451336425,0.7020608962558363,NA,NA,1.6304703585074036,0.013513896728412082,1.76177129573774,0.010579582253410267,0.01097549879716999,0.014867357921415254,0.001987061513392633,0.0028498148704752782,NA,NA,87.23953421249816,4.766070683705803,107.30584628239225,1.3284603444941023,1.2015454865361987,1.623392754933699,0.16507987357127638,0.696630131455465,NA,NA,93.46158455635023,4.820050327981187,114.39432181516597,1.3674690990610276,1.2424247082452216,1.6783258078539407,0.1728959639332149,0.7081683931691803,NA,NA
416,P1,90.02505904224294,4.797284186598228,111.1278572744182,1.3452995684040605,1.2199887984806073,1.6480305534495032,0.16905737779450822,0.7011804907545269,NA,NA,1.7282610799753138,0.01420874879981481,1.8573981791696057,0.011068417447358606,0.0114108322830331,0.015554662428998962,0.002063168006597636,0.0029447683547832284,NA,NA,87.16670592595592,4.768644297944808,107.22982275293357,1.3245009622589665,1.1983959679209746,1.6169792385355544,0.1653555742939274,0.6952711967545494,NA,NA,93.57735069025574,4.821300069146195,114.68461780424653,1.3656801334086819,1.2410943655181954,1.6758723299920044,0.1734848573461546,0.7074715363195362,NA,NA
