grid_cell,pa_frac_all,pa_frac_pre2000,pa_frac_post2000,pa_frac_national,pa_frac_wetland,pa_frac_forest,pa_frac,n_pa_overlapping,pa_year_min,pa_year_first_major,newly_protected_2000_2024
855,0.025348863521236397,0.025348863521236397,0,0.025348863521236397,0,0.025348863521236397,0.025348863521236397,1,1980,1980,FALSE
856,0.001033841337508311,0.001033841337508311,0,0,0,0,0.001033841337508311,1,1985,NA,FALSE
857,0.0028647029943161617,0.0028647029943161617,0,0,0,0,0.0028647029943161617,1,1992,NA,FALSE
858,9.426391681648742e-4,0,9.426391681648742e-4,0,9.426391681648742e-4,0,9.426391681648742e-4,1,2008,NA,FALSE
859,0.1649530665897804,0.16495306658978054,0,0.14809818091895,0.16495306658978054,0,0.1649530665897804,11,1991,1991,FALSE
860,0.19927360189723567,0.19927360189723567,0,0.19927360189721596,0.19927360189723567,0,0.19927360189723567,2,1991,1998,FALSE
876,0,0,0,0,0,0,0,0,NA,NA,FALSE
877,0,0,0,0,0,0,0,0,NA,NA,FALSE
878,0,0,0,0,0,0,0,0,NA,NA,FALSE
879,0,0,0,0,0,0,0,0,NA,NA,FALSE
881,0,0,0,0,0,0,0,0,NA,NA,FALSE
882,0,0,0,0,0,0,0,0,NA,NA,FALSE
883,0,0,0,0,0,0,0,0,NA,NA,FALSE
884,0.06466609977168994,0,0.06466609977168994,0,0,0.06466609977168994,0.06466609977168994,1,2001,2001,TRUE
885,0.21674693828458677,0,0.21674693828458677,0,0,0.21674693828458677,0.21674693828458677,1,2001,2001,TRUE
916,0,0,0,0,0,0,0,0,NA,NA,FALSE
917,0,0,0,0,0,0,0,0,NA,NA,FALSE
918,2.682327782118382e-4,0,2.682327782118382e-4,2.682327782118382e-4,0,2.682327782118382e-4,2.682327782118382e-4,1,2003,NA,FALSE
920,0.14104085955423715,0.14104085955423715,0,0.14104085955423715,0,0,0.14104085955423715,1,1996,1996,FALSE
921,0.0518634719215442,0.0518634719215442,0,0.032110596284270834,0.014347587607594603,0,0.0518634719215442,3,1981,1981,FALSE
922,0.04671840108640439,0.04671840108640439,0,0.0010590145534448742,0.0010590145534448742,0,0.04671840108640439,2,1981,1986,FALSE
923,0.0014043126186437413,0.0014043126186437413,0,0,0,0,0.0014043126186437413,1,1992,NA,FALSE
927,0,0,0,0,0,0,0,0,NA,NA,FALSE
929,0,0,0,0,0,0,0,0,NA,NA,FALSE
931,0.048887637366593954,0.048887637366593954,0,0.048887637366593954,0.048887637366593954,0,0.048887637366593954,5,1991,1991,FALSE
947,0.11172785654006613,0.11172785654006613,0,0.11172785654006613,0,0,0.11172785654006613,1,1980,1980,FALSE
948,0.19948524822050917,0.19948524822050917,0,0.19948524822050917,0,0,0.19948524822050917,1,1980,1980,FALSE
949,0,0,0,0,0,0,0,0,NA,NA,FALSE
950,0,0,0,0,0,0,0,0,NA,NA,FALSE
951,0,0,0,0,0,0,0,0,NA,NA,FALSE
952,0,0,0,0,0,0,0,0,NA,NA,FALSE
953,0,0,0,0,0,0,0,0,NA,NA,FALSE
955,0,0,0,0,0,0,0,0,NA,NA,FALSE
956,0,0,0,0,0,0,0,0,NA,NA,FALSE
985,0,0,0,0,0,0,0,0,NA,NA,FALSE
986,0,0,0,0,0,0,0,0,NA,NA,FALSE
987,0,0,0,0,0,0,0,0,NA,NA,FALSE
988,0,0,0,0,0,0,0,0,NA,NA,FALSE
989,0,0,0,0,0,0,0,0,NA,NA,FALSE
991,0.048294203043827956,0,0.048294203043827956,0.048294203043827956,0,0.048294203043827956,0.048294203043827956,1,2003,2003,TRUE
992,0,0,0,0,0,0,0,0,NA,NA,FALSE
993,0.26168590754163484,0.26168590754163484,0,0.26168590754163484,0.26168590754163484,0,0.26168590754163484,1,1981,1981,FALSE
994,0.028133150389283393,0.028133150389283393,0,0.028133150389283393,0.028133150389283393,0,0.028133150389283393,1,1981,1981,FALSE
995,0,0,0,0,0,0,0,0,NA,NA,FALSE
996,0,0,0,0,0,0,0,0,NA,NA,FALSE
997,0,0,0,0,0,0,0,0,NA,NA,FALSE
999,0.0032991540524138683,0.0032991540524138683,0,0,0,0,0.0032991540524138683,2,1996,NA,FALSE
1001,0,0,0,0,0,0,0,0,NA,NA,FALSE
1002,0,0,0,0,0,0,0,0,NA,NA,FALSE
1003,0,0,0,0,0,0,0,0,NA,NA,FALSE
1018,0,0,0,0,0,0,0,0,NA,NA,FALSE
1019,0.017797377513562824,0,0.017797377513562824,0.017797377513562824,0.017797377513562824,0,0.017797377513562824,1,2000,2000,TRUE
1021,0.03685484970672107,0.03685484970672107,0,0.03685484970672107,0,0,0.03685484970672107,1,1983,1983,FALSE
1022,0,0,0,0,0,0,0,0,NA,NA,FALSE
1023,0,0,0,0,0,0,0,0,NA,NA,FALSE
1025,0,0,0,0,0,0,0,0,NA,NA,FALSE
1027,0,0,0,0,0,0,0,0,NA,NA,FALSE
1028,0,0,0,0,0,0,0,0,NA,NA,FALSE
1029,0,0,0,0,0,0,0,0,NA,NA,FALSE
1055,0,0,0,0,0,0,0,0,NA,NA,FALSE
1057,0,0,0,0,0,0,0,0,NA,NA,FALSE
1058,0,0,0,0,0,0,0,0,NA,NA,FALSE
1061,0.2427754555026835,0.2427754555026835,0,0.2427754555026835,0,0.2427754555026835,0.2427754555026835,2,1996,1996,FALSE
1063,0.3747999584635174,0.3747999584635177,0,0.3747999584635174,0.03406115067398321,0,0.3747999584635174,2,1981,1981,FALSE
1064,0.19264182260177595,0.19264182260177595,0,0.19264182260177595,0.18394293248016907,0,0.19264182260177595,2,1981,1981,FALSE
1065,0,0,0,0,0,0,0,0,NA,NA,FALSE
1066,0.10440962130978049,0.10440962130978049,0,0.10440962130978049,0.10440962130978049,0,0.10440962130978049,1,1986,1986,FALSE
1068,0,0,0,0,0,0,0,0,NA,NA,FALSE
1069,0.014943787653668422,0.014943787653668422,0,0,0,0,0.014943787653668422,1,1983,1983,FALSE
1070,0.042595236974186185,0.042595236974186185,0,0,0,0,0.042595236974186185,1,1982,1982,FALSE
1073,0.021291639339284216,0.021291639339284216,0,0.019360299559914706,0.0019313397793695086,0.019360299559914706,0.021291639339284216,2,1989,1989,FALSE
1075,0,0,0,0,0,0,0,0,NA,NA,FALSE
1076,0,0,0,0,0,0,0,0,NA,NA,FALSE
1089,0,0,0,0,0,0,0,0,NA,NA,FALSE
1090,0,0,0,0,0,0,0,0,NA,NA,FALSE
1091,0,0,0,0,0,0,0,0,NA,NA,FALSE
1092,0.30096311694841976,0.0027713472880163126,0.29821178705559204,0.30096311694841976,0.29821178705559204,0,0.30096311694841976,2,1983,2000,TRUE
1093,0.10314349755077906,0.04633972956808181,0.05705561527901408,0.10314349755077906,0.05705561527901408,0,0.10314349755077906,2,1983,1983,FALSE
1094,0,0,0,0,0,0,0,0,NA,NA,FALSE
1095,0,0,0,0,0,0,0,0,NA,NA,FALSE
1096,0,0,0,0,0,0,0,0,NA,NA,FALSE
1097,0,0,0,0,0,0,0,0,NA,NA,FALSE
1098,0,0,0,0,0,0,0,0,NA,NA,FALSE
1100,0,0,0,0,0,0,0,0,NA,NA,FALSE
1101,0,0,0,0,0,0,0,0,NA,NA,FALSE
1103,0,0,0,0,0,0,0,0,NA,NA,FALSE
1126,0,0,0,0,0,0,0,0,NA,NA,FALSE
1127,0,0,0,0,0,0,0,0,NA,NA,FALSE
1128,0.062025058168773566,0.062025058168773566,0,0.062025058168773566,0,0,0.062025058168773566,1,1985,1985,FALSE
1129,0.4670419262098753,0.4670419262098753,0,0.4670419262098753,0,0,0.4670419262098753,1,1985,1985,FALSE
1130,0,0,0,0,0,0,0,0,NA,NA,FALSE
1131,0.15322942495618697,0.15322942495618697,0,0.15322942495618697,0,0.15322942495618697,0.15322942495618697,1,1998,1998,FALSE
1133,0.0019764361711607824,0.0019764361711607824,0,0.0019764361711607824,0,0.0019764361711607824,0.0019764361711607824,1,1997,NA,FALSE
1134,0,0,0,0,0,0,0,0,NA,NA,FALSE
1137,0.06776339769778715,0.06776339769778623,0,0.022197567769235822,0,0,0.06776339769778715,4,1986,1986,FALSE
1138,0.039244493257719226,0,0.039244493257719226,0.039244493257719226,0.039244493257719226,0,0.039244493257719226,1,2004,2004,TRUE
1139,0.012136515517567432,0,0.012136515517567432,0.012136515517567432,0.012136515517567432,0,0.012136515517567432,1,2004,2004,TRUE
1140,0,0,0,0,0,0,0,0,NA,NA,FALSE
1142,0.009736436822131964,0,0.009736436822131964,0,0,0.009736436822131964,0.009736436822131964,1,2010,NA,FALSE
1143,0.007967145334982486,0.007967145334982486,0,0,0.007967145334982486,0,0.007967145334982486,1,1980,NA,FALSE
1144,0.05520481169002958,0.05520481169002958,0,0.04858091182425594,0.006623899865773639,0.04858091182425594,0.05520481169002958,2,1980,1981,FALSE
1145,8.106213371972482e-4,8.106213371972482e-4,0,0,8.106213371972482e-4,0,8.106213371972482e-4,1,1996,NA,FALSE
1161,0,0,0,0,0,0,0,0,NA,NA,FALSE
1162,3.9722394706652155e-4,3.9722394706652155e-4,0,0,0,0,3.9722394706652155e-4,1,1983,NA,FALSE
1163,0,0,0,0,0,0,0,0,NA,NA,FALSE
1164,0,0,0,0,0,0,0,0,NA,NA,FALSE
1165,0,0,0,0,0,0,0,0,NA,NA,FALSE
1166,0,0,0,0,0,0,0,0,NA,NA,FALSE
1167,0,0,0,0,0,0,0,0,NA,NA,FALSE
1168,0,0,0,0,0,0,0,0,NA,NA,FALSE
1169,0.0029367496179902586,0.0029367496179902586,0,5.187278574972384e-5,0,0.0029367496179902586,0.0029367496179902586,2,1980,NA,FALSE
1170,0.37785496309211836,0.37785496309211836,0,0.3584588576901817,0,0.37785496309211836,0.37785496309211836,2,1980,1980,FALSE
1171,0.009422029324461536,0.009422029324461536,0,0.009422029324461536,0,0.009422029324461536,0.009422029324461536,1,1983,NA,FALSE
1172,0,0,0,0,0,0,0,0,NA,NA,FALSE
1173,0,0,0,0,0,0,0,0,NA,NA,FALSE
1175,0,0,0,0,0,0,0,0,NA,NA,FALSE
1196,0,0,0,0,0,0,0,0,NA,NA,FALSE
1197,0,0,0,0,0,0,0,0,NA,NA,FALSE
1198,0,0,0,0,0,0,0,0,NA,NA,FALSE
1199,0,0,0,0,0,0,0,0,NA,NA,FALSE
1200,0.02243988833107996,0.02243988833107996,0,0.02243988833107996,0,0,0.02243988833107996,1,1985,1985,FALSE
1201,0.6687523095626973,0.6687523095626973,0,0.6687523095626973,0,0,0.6687523095626973,1,1985,1985,FALSE
1202,0.07996110131713123,0.07996110131713123,0,0.06722021071440393,0,0,0.07996110131713123,3,1985,1985,FALSE
1203,0,0,0,0,0,0,0,0,NA,NA,FALSE
1204,0.00805818662776036,0.00805818662776036,0,0,0,0.00805818662776036,0.00805818662776036,1,1997,NA,FALSE
1205,0,0,0,0,0,0,0,0,NA,NA,FALSE
1206,0,0,0,0,0,0,0,0,NA,NA,FALSE
1207,0,0,0,0,0,0,0,0,NA,NA,FALSE
1208,0,0,0,0,0,0,0,0,NA,NA,FALSE
1209,0,0,0,0,0,0,0,0,NA,NA,FALSE
1210,0,0,0,0,0,0,0,0,NA,NA,FALSE
1211,0,0,0,0,0,0,0,0,NA,NA,FALSE
1212,0,0,0,0,0,0,0,0,NA,NA,FALSE
1213,0,0,0,0,0,0,0,0,NA,NA,FALSE
1214,0.13641584789409267,0.048798643779324725,0.08761720411476792,0.09905837060175848,0.048798643779324725,0.08761720411476791,0.13641584789409267,5,1991,1991,FALSE
1215,0.23207272843412796,0.23207272843412796,0,0.049874552388155996,0.23207272843412796,0,0.23207272843412796,2,1980,1980,FALSE
1216,0.06025265248511494,0.00427716315376085,0.055975489331354086,0.05911460449744272,0.001138047987672214,0.0031391151660886355,0.06025265248511494,3,1980,2006,TRUE
1234,0,0,0,0,0,0,0,0,NA,NA,FALSE
1235,0,0,0,0,0,0,0,0,NA,NA,FALSE
1236,0.057885253042925876,0.057885253042925876,0,0.057885253042925876,0,0.057885253042925876,0.057885253042925876,1,1983,1983,FALSE
1237,0.010964693525634304,0.010964693525634304,0,0.010964693525634304,0,0,0.010964693525634304,1,1980,1980,FALSE
1238,0.05376213868029537,0.05376213868029537,0,0.05376213868029537,0,0,0.05376213868029537,1,1980,1980,FALSE
1239,0,0,0,0,0,0,0,0,NA,NA,FALSE
1240,0,0,0,0,0,0,0,0,NA,NA,FALSE
1241,0,0,0,0,0,0,0,0,NA,NA,FALSE
1242,0.0037915702794362165,0.0037915702794362165,0,0.0037915702794362165,0,0.0037915702794362165,0.0037915702794362165,1,1983,NA,FALSE
