species,trend_class,trend_grade,trend_slope,p_positive,p_negative,mk_tau,mk_p,diet_specialization,habitat_breadth,Habitat,Habitat.Density,Migration,Trophic.Level,Primary.Lifestyle,migration_score
Phylloscopus inornatus,expanding,strong_expanding,0.029946293109388303,1,0,1,0.02748633611151034,0.8,2,Woodland,1,3,Carnivore,Insessorial,3
Pterorhinus sannio,expanding,strong_expanding,0.03979843490414222,1,0,1,0.02748633611151034,0.6,5,NA,NA,NA,NA,NA,2
Motacilla cinerea,stable,stable,0.018954340674876835,0.9175,0.0825,0.8,0.08641073297370003,1,8,Riverine,3,2,Carnivore,Terrestrial,2
Sterna hirundo,expanding,strong_expanding,0.04677174989918046,1,0,0.8,0.08641073297370003,0.6999999999999997,8,Marine,3,3,Carnivore,Aerial,3
Falco tinnunculus,expanding,strong_expanding,0.04156445399901182,1,0,1,0.02748633611151034,0.8,8,Shrubland,3,3,Carnivore,Aerial,3
Hypsipetes leucocephalus,stable,stable,0.007587374260432648,0.88,0.12,0.6,0.2206713619198468,0.20000000000000004,2,Forest,1,3,Herbivore,Insessorial,3
Apus apus,stable,stable,0.0061180412197892765,0.79,0.21,0.6,0.2206713619198468,1,2,Human Modified,1,3,Carnivore,Aerial,3
Cuculus micropterus,expanding,expanding,0.02017712083237851,0.9875,0.0125,1,0.02748633611151034,0.6000000000000001,2,Forest,1,1,Carnivore,Insessorial,1
Phalacrocorax carbo,expanding,expanding,0.03518521860496223,0.985,0.015,0.8,0.08641073297370003,0.6999999999999997,8,Wetland,3,2,Carnivore,Aquatic,2
Phoenicurus fuliginosus,expanding,strong_expanding,0.025005519164875128,1,0,1,0.02748633611151034,0.6,8,Riverine,3,1,Carnivore,Insessorial,1
Prinia inornata,expanding,strong_expanding,0.024145358945431565,1,0,0.8,0.08641073297370003,1,5,Shrubland,2,1,Carnivore,Generalist,1
Milvus migrans,stable,stable,0.02270791020112154,0.9125,0.0875,0.6,0.2206713619198468,0.6,8,Woodland,3,3,Omnivore,Aerial,3
Bubulcus coromandus,stable,stable,4.2835498568601256e-4,0.535,0.465,0.2,0.8064959405073402,0.6,5,NA,NA,NA,NA,NA,2
Phylloscopus proregulus,expanding,expanding,0.01359926209088199,0.96,0.04,0.4,0.4624327264504763,1,2,Forest,1,3,Carnivore,Insessorial,3
Acrocephalus orientalis,expanding,strong_expanding,0.05059972826961889,1,0,1,0.02748633611151034,0.6,8,Wetland,3,3,Carnivore,Insessorial,3
Aegithalos glaucogularis,expanding,strong_expanding,0.03471180149948495,1,0,1,0.02748633611151034,0.6,5,Forest,2,1,Carnivore,Insessorial,1
Eudynamys scolopaceus,expanding,strong_expanding,0.021499097559278386,1,0,1,0.02748633611151034,0.6999999999999997,5,Woodland,2,2,Herbivore,Insessorial,2
Anthus hodgsoni,stable,stable,-0.006196478263856291,0.315,0.685,-0.2,0.8064959405073402,1,8,Grassland,3,3,Carnivore,Terrestrial,3
Pterorhinus perspicillatus,expanding,strong_expanding,0.03859995768950752,1,0,1,0.02748633611151034,0.6,5,NA,NA,NA,NA,NA,2
