mean,sd,q025,median,q975,metric,period_pair,grid_cell
0.6746737228564633,0.06321499723440896,0.5489061825101557,0.6773654663212738,0.8009450730860617,prop_turnover,P1_P2,1998
0.753752900726491,0.08750443377109933,0.5914172450237912,0.7545674033183614,0.9304748032104028,prop_turnover,P1_P2,2024
0.7705371252298298,0.08470333181449431,0.6141281576575887,0.7672759474208957,0.9405441335958123,prop_turnover,P1_P2,2027
0.7762219604730245,0.08373244033892968,0.6229850490341073,0.7698931108108487,0.9433434790360602,prop_turnover,P1_P2,2028
0.844214210745129,0.06897001683344064,0.7157524966513671,0.8417875602594221,0.9838879226524736,prop_turnover,P1_P2,2039
0.8516752710974205,0.06706517344175181,0.7283604401147503,0.851995021571604,0.9879419544752469,prop_turnover,P1_P2,2040
0.859411648673074,0.06518624334022216,0.737915766097499,0.8575447108086837,0.9928993283954117,prop_turnover,P1_P2,2041
0.8817644079721054,0.0592068716823088,0.7659220483091232,0.8804079628094263,0.993391503790196,prop_turnover,P1_P2,2044
0.8878744799671379,0.057496603911521636,0.7731851740532176,0.8853454841639976,0.9927631796382095,prop_turnover,P1_P2,2045
0.8926345401397419,0.0560751961815623,0.7786050056874075,0.8913987016656683,0.9939674417738543,prop_turnover,P1_P2,2046
0.8956321563438747,0.05494581095742193,0.7813771925225363,0.8930606636971199,0.9934804136092181,prop_turnover,P1_P2,2047
0.8966480988200751,0.05426398080510533,0.7851215405711923,0.894619296103877,0.9935630098632515,prop_turnover,P1_P2,2048
0.895510456321236,0.05396249066161454,0.788111733238722,0.8935791577482679,0.9934086790997849,prop_turnover,P1_P2,2049
0.8922412850634435,0.05400759816970006,0.7866859703755894,0.8896609579447711,0.9934013904483446,prop_turnover,P1_P2,2050
0.8868840743750359,0.05422908582088988,0.776266178772133,0.8832234343730112,0.988681891682555,prop_turnover,P1_P2,2051
0.8794376447948249,0.05454017353357091,0.7716889915449943,0.8772376512503379,0.9828809138768726,prop_turnover,P1_P2,2052
0.86992170909982,0.055164903750766894,0.7670782110697064,0.8684631356463555,0.9757584140699022,prop_turnover,P1_P2,2053
0.8581932092238193,0.05551679859998966,0.7535028665709962,0.855830472802945,0.967516038527134,prop_turnover,P1_P2,2054
0.8448696990238633,0.05574710630564844,0.7380944214540774,0.8428276855667625,0.9564573893184728,prop_turnover,P1_P2,2055
0.830826228284205,0.0560388789106045,0.7225139315684004,0.828534012920767,0.9475440876053393,prop_turnover,P1_P2,2056
0.8168073568560141,0.056466559614596804,0.706672776235591,0.8151570442130933,0.9309693722119113,prop_turnover,P1_P2,2057
0.8032165012004446,0.05700380184406806,0.6919214093980125,0.8014850847018373,0.9170029490062492,prop_turnover,P1_P2,2058
0.7901183502315069,0.057578983065350975,0.6760286201024392,0.7872404959562667,0.9046673879818139,prop_turnover,P1_P2,2059
0.7773842536563452,0.05814814003791115,0.6625727989530634,0.7755144000010716,0.8906343401260379,prop_turnover,P1_P2,2060
0.764843327628875,0.0586949073869641,0.6450213816638819,0.7624860985936837,0.8823634165277219,prop_turnover,P1_P2,2061
0.7523757153248031,0.05921811961412847,0.6311537095592484,0.7515546903354897,0.867325085467132,prop_turnover,P1_P2,2062
0.7399423353924051,0.059718016632932254,0.6176036721514372,0.739545063337072,0.8594246101722121,prop_turnover,P1_P2,2063
0.7275827153216393,0.06019020486545017,0.6013990957609123,0.727485692254934,0.8497656001052968,prop_turnover,P1_P2,2064
0.7153970411910225,0.06063199435078539,0.5937192298130649,0.7167380991918166,0.8362706704898647,prop_turnover,P1_P2,2065
0.7035130189261887,0.0610554895238629,0.5844956471176012,0.705315758512012,0.82295559286987785,prop_turnover,P1_P2,2066
0.6920467274528606,0.061491033549048335,0.5727525798225611,0.6952450175561908,0.8115199720141684,prop_turnover,P1_P2,2067
0.6810961356055648,0.06197224800540864,0.5631248415491402,0.6843138778291138,0.7997021603617902,prop_turnover,P1_P2,2068
0.6748404123509313,0.06242156949999328,0.5565666381189007,0.6786131290024193,0.7964349424337464,prop_turnover,P1_P2,2069
0.8488601120508039,0.06802842392365674,0.7216885152359845,0.8460157344844639,0.9830079092530586,prop_turnover,P1_P2,2111
0.8567347752415682,0.06605437001077213,0.7339655187277256,0.8559369251808008,0.9852157625684965,prop_turnover,P1_P2,2112
0.8647500582755194,0.06408237246519013,0.7458518260284671,0.8643975054771263,0.9889947075617067,prop_turnover,P1_P2,2113
0.8726127275825225,0.061955850923469245,0.7553331520818479,0.8734299307241248,0.9891955064367339,prop_turnover,P1_P2,2114
0.8868686758477458,0.05807023429325601,0.7721268379711952,0.8856443672591063,0.9921804465546419,prop_turnover,P1_P2,2116
0.8924121233278005,0.05643627336595807,0.7803707307865899,0.890937198948434,0.9941616839590507,prop_turnover,P1_P2,2117
0.89630568790806,0.055107056405712264,0.7828740570665674,0.895443180968847,0.9950150477647035,prop_turnover,P1_P2,2118
0.8982038134113195,0.05416648183199599,0.7874109260377438,0.8967661611010649,0.9934489967914534,prop_turnover,P1_P2,2119
0.8979039881806226,0.05364269022337572,0.7880277200096316,0.8969190183873625,0.9935711570737635,prop_turnover,P1_P2,2120
0.8954280942704511,0.05358418083021561,0.7906640148371695,0.8954321629337938,0.9952087587814465,prop_turnover,P1_P2,2121
0.890796858181384,0.053711816004813444,0.7855336495742562,0.8892724089761774,0.9926518566299846,prop_turnover,P1_P2,2122
0.8841484178334229,0.053993821912280415,0.77736590956566,0.8824293507155299,0.9846813763145055,prop_turnover,P1_P2,2123
0.8755353555542937,0.05462225257125844,0.772777810602252,0.8742196220937575,0.9793617623391961,prop_turnover,P1_P2,2124
0.8647024535216581,0.05513419429762094,0.7589596612580973,0.8637594104526571,0.9758632748479132,prop_turnover,P1_P2,2125
0.8519286408568862,0.0554240701988578,0.7454086956658862,0.8493561145271502,0.9649843923016744,prop_turnover,P1_P2,2126
0.8379868049385134,0.055690524657140104,0.7330817260887105,0.8368194810593564,0.953119142882917,prop_turnover,P1_P2,2127
0.8236687023479453,0.05606096117048434,0.7159736481737476,0.823079477152759,0.938781020933526,prop_turnover,P1_P2,2128
0.8094962953480641,0.05655895202592102,0.6986426666601562,0.8092908588768031,0.9244857076932699,prop_turnover,P1_P2,2129
0.7956508864653697,0.05710405715322187,0.6837151067204398,0.794157173275704,0.9098825093749432,prop_turnover,P1_P2,2130
0.7821080615929459,0.05763998025465237,0.6708573442176174,0.7781271838683519,0.894921069729687,prop_turnover,P1_P2,2131
0.7687821004919168,0.05814237913276573,0.6543810697775335,0.7671140029561445,0.8816112143387856,prop_turnover,P1_P2,2132
0.7556161609927403,0.05861153939007115,0.6352792122777975,0.7551382660194625,0.8706558081513825,prop_turnover,P1_P2,2133
0.7426015913909665,0.05906144063595727,0.6180012797909544,0.7421756901582948,0.8618752010560655,prop_turnover,P1_P2,2134
0.7297656695196522,0.05951162923051402,0.6025071198644197,0.7302548623833051,0.85323757192521,prop_turnover,P1_P2,2135
0.717160245656445,0.059977336464088246,0.587327175666261,0.7179287386336739,0.8372876290307185,prop_turnover,P1_P2,2136
0.7048561663376917,0.06045993320619582,0.5753695012240854,0.7055302888523711,0.821938990692926,prop_turnover,P1_P2,2137
0.6929337448917707,0.06094890301709292,0.565520485231395,0.6947435459161093,0.809961260816492,prop_turnover,P1_P2,2138
0.6814646590645789,0.0614351911787288,0.558273217105622,0.6835423895642121,0.7985336637628658,prop_turnover,P1_P2,2139
0.6711303005799569,0.0618833799198984,0.5489759019977739,0.6737422627155345,0.7889588245588371,prop_turnover,P1_P2,2140
0.7688437356239606,0.08466720218806892,0.6125441953249393,0.7646603899011293,0.9429988563530065,prop_turnover,P1_P2,2171
0.8446760155635128,0.06930416192827991,0.7160910647308114,0.8410862338651603,0.9817914001178707,prop_turnover,P1_P2,2182
