species,threshold,d_AOO,infilling,expansion
Anthus hodgsoni,0.5,-18.998778232377003,-12.797308428971514,-6.20146980340549
Pterorhinus perspicillatus,0.5,187.26388802611748,23.947405127514795,163.3164828986027
Charadrius dubius,0.5,194.83756572168616,75.55964328779336,119.2779224338928
Poecile palustris,0.5,146.44886160883974,26.612079110446047,119.8367824983937
Actitis hypoleucos,0.5,91.07635752137226,81.56292768556716,9.513429835805097
Tadorna ferruginea,0.5,279.57066798544884,86.64657662534627,192.92409136010258
Passer cinnamomeus,0.5,229.82449537277824,60.67389191028258,169.15060346249567
Vanellus cinereus,0.5,383.0923251112186,77.52382793483083,305.5684971763878
Pycnonotus xanthorrhous,0.5,161.56124256330253,23.542116672205037,138.01912589109747
Emberiza spodocephala,0.5,96.73985602227674,49.036221083059246,47.703634939217494
Ixobrychus sinensis,0.5,158.56101068857274,60.45124432195867,98.10976636661407
Oriolus chinensis,0.5,73.89776360912124,34.50182998835969,39.395933620761554
Emberiza pusilla,0.5,106.11965777519119,59.54732653361148,46.572331241579704
Chroicocephalus ridibundus,0.5,324.93600177557954,52.811435927928116,272.1245658476514
Pycnonotus jocosus,0.5,88.68449894911353,18.30702283408746,70.37747611502607
Streptopelia decaocto,0.5,169.21988570923966,54.275965533438495,114.94392017580118
Pomatorhinus ruficollis,0.5,103.83058361453728,28.066338054887197,75.76424555965008
Bambusicola thoracicus,0.5,102.82180225170559,20.853934425320357,81.96786782638523
Pardaliparus venustulus,0.5,2.820374573477172,3.378665757856858,-0.5582911843796861
Ficedula albicilla,0.5,32.859285506040855,20.20894106998846,12.650344436052398
Picoides canicapillus,0.5,444.51431951799265,12.99645407799985,431.51786543999276
Hemixos castanonotus,0.5,102.8645306283756,20.995119347333404,81.86941128104219
Tringa glareola,0.5,94.38437082648903,59.54889478868924,34.835476037799786
Abroscopus albogularis,0.5,120.68137745453932,35.94871671852797,84.73266073601134
Saxicola stejnegeri,0.5,246.7618579724743,75.17476234209505,171.58709563037925
Garrulus glandarius,0.5,16.12186414217053,10.277629573842388,5.844234568328142
Chlidonias hybrida,0.5,377.628453700416,61.31979543775263,316.30865826266336
Corvus corone,0.5,202.861784621399,84.3619292705909,118.49985535080809
Trochalopteron elliotii,0.5,-33.46804634376069,-8.267214202082066,-25.20083214167862
Parus monticolus,0.5,50.3632267440615,6.6087927831140645,43.75443396094744
Phylloscopus fuscatus,0.5,86.42192416974558,54.41351161469613,32.00841255504945
Myophonus caeruleus,0.5,102.9832998821597,37.88600400813567,65.09729587402403
Pyrrhocorax pyrrhocorax,0.5,20.173663055259492,9.165710917083219,11.007952138176273
Ficedula zanthopygia,0.5,70.87074417710195,36.06541112190695,34.805333055195
Pericrocotus cantonensis,0.5,24.698601843055553,12.052735570345174,12.645866272710377
Ixos mcclellandii,0.5,153.47609034893424,33.95428509777344,119.52180525116079
Tringa nebularia,0.5,228.76758318143996,64.61953046264438,164.14805271879558
Dicrurus hottentottus,0.5,-19.394002967856775,-6.8722633379974765,-12.521739629859297
Gracupica nigricollis,0.5,96.34928710642247,21.444878556602237,74.90440854982023
Tringa totanus,0.5,192.32367880528133,47.73592536330797,144.58775344197338
Hierococcyx sparverioides,0.5,264.01625539457524,58.76028325877612,205.2559721357991
Leiothrix lutea,0.5,-0.3656628532431871,1.2683037248474418,-1.633966578090629
Charadrius alexandrinus,0.5,213.4894823576977,33.1811774514829,180.3083049062148
Dendrocitta formosae,0.5,91.20051824510558,25.93065260566147,65.26986563944412
Aix galericulata,0.5,228.76692251578535,63.96185772540523,164.8050647903801
Motacilla tschutschensis,0.5,155.60703740467673,78.26260907335622,77.34442833132053
Falco amurensis,0.5,314.1664122134296,54.43066699937026,259.73574521405936
Delichon dasypus,0.5,-81.09554475543136,-57.32034825791861,-23.775196497512756
Lonchura striata,0.5,45.14751983776852,17.032868472233993,28.11465136553453
Garrulax canorus,0.5,100.51193755987354,31.447679433198477,69.06425812667507
Amaurornis phoenicurus,0.5,79.73848984206892,27.722930754740574,52.015559087328334
Lanius tephronotus,0.5,31.446388443393662,13.170194898664297,18.276193544729367
Columba livia,0.5,-393.82646591474736,-393.82646591474736,0
Phylloscopus claudiae,0.5,126.89122195975273,2.79024844499633,124.10097351475639
Emberiza elegans,0.5,149.59640138272508,51.4854264064674,98.11097497625767
Gyps himalayensis,0.5,14.912942025832516,6.691027429444986,8.221914596387531
Recurvirostra avosetta,0.5,318.34388540122086,54.24658345952664,264.09730194169424
Culicicapa ceylonensis,0.5,169.39246125122736,35.57359039684481,133.81887085438257
Columba rupestris,0.5,102.30310612262151,36.19864588479819,66.10446023782332
Apus nipalensis,0.5,167.44605750067427,34.14898919069882,133.29706830997546
Accipiter nisus,0.5,162.48518983532287,77.10699408364192,85.37819575168095
Tringa ochropus,0.5,290.17607247877254,177.7261730318612,112.44989944691132
Phoenicurus ochruros,0.5,39.82562717103419,12.721886339563742,27.103740831470446
Turdus rubrocanus,0.5,-20.17286547396862,-7.586266023765489,-12.586599450203131
Carpodacus erythrinus,0.5,107.79945867715067,53.03827458391301,54.76118409323766
Psilopogon virens,0.5,156.1744356009192,30.651554667554095,125.5228809333651
Gallinago gallinago,0.5,186.91392478785102,85.00650031416863,101.90742447368237
Prinia flaviventris,0.5,74.21105400725698,17.5655188738953,56.645535133361676
Motacilla citreola,0.5,252.33673100110482,80.54809752129283,171.788633479812
Accipiter soloensis,0.5,72.50489712654215,32.0320874251168,40.47280970142535
Accipiter trivirgatus,0.5,111.33952548817803,29.917448919190324,81.4220765689877
Cisticola juncidis,0.5,0.5574839213640261,2.3841182285618405,-1.8266343071978146
Dicrurus leucophaeus,0.5,113.84448817181166,32.29275722039869,81.55173095141298
Ardea intermedia,0.5,502.57196767224696,4.4607140505626655,498.11125362168434
Lonchura punctulata,0.5,93.52050512565734,24.772947715216727,68.74755741044062
Orthotomus sutorius,0.5,63.53787883376877,15.399387303202566,48.138491530566206
Falco subbuteo,0.5,169.16357543723694,79.49264240900642,89.67093302823051
Pericrocotus ethologus,0.5,32.16913963803074,11.081727538560685,21.087412099470054
Muscicapa sibirica,0.5,41.30908571277572,25.258631946044254,16.05045376673147
Picumnus innominatus,0.5,79.56030978003234,26.76048098187055,52.79982879816179
Sternula albifrons,0.5,211.86185881902767,32.15889981559093,179.70295900343675
Butorides striata,0.5,80.00105876310344,35.01595613007596,44.98510263302748
Yungipicus canicapillus,0.5,165.6817029602937,5.2204826872719705,160.46122027302172
Periparus ater,0.5,19.277729256196956,9.702518421224497,9.57521083497246
Phylloscopus magnirostris,0.5,1.5955970192223612,1.7141950226161735,-0.11859800339381237
Tarsiger cyanurus,0.5,90.68595688736744,50.80925985374098,39.876697033626456
Cuculus sparverioides,0.5,-38.82761506588375,-19.235275582524057,-19.592339483359687
Cyanoderma ruficeps,0.5,177.00780114157178,35.03950713404901,141.96829400752276
Eurystomus orientalis,0.5,64.08301868883936,27.29855580104249,36.78446288779687
Anas carolinensis,0.5,267.2042335958829,98.7182955081661,168.48593808771682
Acrocephalus bistrigiceps,0.5,270.2657801186474,58.49447660693949,211.77130351170794
Centropus sinensis,0.5,105.61532736932834,17.52433955434116,88.09098781498717
Buteo hemilasius,0.5,115.79210832558438,50.1194897404946,65.67261858508978
Pycnonotus aurigaster,0.5,91.51217162398886,20.422647116391357,71.08952450759752
Fringilla montifringilla,0.5,348.33674131132585,67.33737296529378,280.99936834603204
Phylloscopus humei,0.5,62.73375886275306,22.859320324556315,39.87443853819674
