period,grid_cell,CTI
P1,847,8.199720518880529
P1,848,8.128230490520966
P1,849,8.187269170189808
P1,850,8.312257227129587
P1,851,8.090585736262204
P1,855,8.052420632920441
P1,856,8.057633644793126
P1,857,8.189022551561363
P1,858,8.499819549324515
P1,859,8.275747153383078
P1,860,8.24161886095371
P1,876,8.20122526050264
P1,877,8.246273520925122
P1,878,8.292583512982972
P1,879,8.258105104986775
P1,881,8.32206150883657
P1,882,8.301829020701952
P1,883,8.178291114949209
P1,884,8.47002086364015
P1,885,8.432144580235944
P1,916,8.143016380366705
P1,917,8.124832748798678
P1,918,7.816445768281659
P1,920,7.8109600437466655
P1,921,7.844421327239125
P1,922,7.937558438998178
P1,923,7.970710178579739
P1,927,7.822617328168575
P1,929,7.821674496765757
P1,931,7.854150236353981
P1,947,8.787882916864653
P1,948,8.66032400843378
P1,949,8.873981036309774
P1,950,8.584969673940526
P1,951,8.453620219603547
P1,952,8.533823823796158
P1,953,8.645292552133643
P1,955,9.627344196835603
P1,956,9.502080639790382
P1,985,7.8299610063181495
P1,986,7.831689707178408
P1,987,7.842932264145577
P1,988,7.886301066772735
P1,989,7.868452564467653
P1,991,7.892457620064734
P1,992,7.92487624575227
P1,993,7.921751483851755
P1,994,7.9503635681103955
P1,995,8.009683058939716
P1,996,8.0120897737508
P1,997,8.140821852565908
P1,999,8.181856321624338
P1,1001,8.02759600523657
P1,1002,7.959819820364733
P1,1003,7.970053468155901
P1,1018,8.588790786365323
P1,1019,8.796809173253235
P1,1021,8.287604359255544
P1,1022,8.14214318002762
P1,1023,8.179936540763075
P1,1025,8.17362463618455
P1,1027,8.136381609478224
P1,1028,8.117200755343768
P1,1029,8.133806058643822
P1,1055,8.105352759026212
P1,1057,8.195816277336263
P1,1058,8.298940490628873
P1,1061,8.074188876712121
P1,1063,8.053621441765454
P1,1064,8.123863272754335
P1,1065,8.099010035535615
P1,1066,8.080769732295233
P1,1068,7.797713385028844
P1,1069,7.807151713970643
P1,1070,7.846979517306847
P1,1073,7.901658310345533
P1,1075,7.913751201503102
P1,1076,7.885493797157908
P1,1089,8.620325803553028
P1,1090,8.640841468790644
P1,1091,8.70305634006345
P1,1092,8.679328415691298
P1,1093,8.707012295991705
P1,1094,8.787637937444847
P1,1095,8.949428507860494
P1,1096,8.97856445999319
P1,1097,8.80562682206398
P1,1098,8.91477270830799
P1,1100,8.654445400704452
P1,1101,8.432513042896732
P1,1103,9.455039455062186
P1,1126,7.840754196323051
P1,1127,7.8416143100922975
P1,1128,7.837927485121457
P1,1129,7.853864744283516
P1,1130,7.833268081233311
