species,year_slope,year_l95,year_u95,year_sig,order_lat,family_lat,genus_lat,body_mass_g,body_length_mm,clutch_size,egg_volume_mm3,longevity_y,maturity_y,avonet_hwi,elev_range_m,avonet_range_size,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,niche_rel,diet_specialization,habitat_breadth_data,habitat_openness_avonet,migration_class,migration_score,status
Apus nipalensis,0.49982740627164163,0.12988714606960397,0.8452086590006337,TRUE,CAPRIMULGIFORMES,Apodidae,Apus,28,126.5,3,2604.825,14.46593421717172,1.9191893551729284,67.6,2100,5768014.18,Human Modified,1,3,Carnivore,Invertivore,Aerial,0.47275031685678076,0.5272496831432192,1.1319445903066419,4,3,3,Winner
Apus pacificus,0.283441068396662,-0.15734052012196503,0.7428591703215349,FALSE,CAPRIMULGIFORMES,Apodidae,Apus,43,187.5,2.5,4126.92,16.076197222222227,1.7357220083893592,69.4,3000,15859868.87,Woodland,1,2,Carnivore,Invertivore,Aerial,0.47275031685678076,0.5272496831432192,1.353087900256714,1.5,2,2,Stable
Aquila chrysaetos,0.26070149177387614,-0.07385194066192187,0.6223620831216491,FALSE,ACCIPITRIFORMES,Accipitridae,Aquila,3950,848.5,2,143208,48,3.997262149212868,36.7,3630,39450257.98,Grassland,3,2,Carnivore,Vertivore,Aerial,0.05449936628643853,0.9455006337135614,1.3029694646853156,2.5,2,2,Stable
Ardea alba,0.42193893678478184,0.11648708877764076,0.7343321181475504,TRUE,PELECANIFORMES,Ardeidae,Ardea,970,939,4,51438.6,22.8,1.998631074606434,32.1,4000,74898555.49,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,0.14702154626108999,0.85297845373891,1.3315837099036465,3,2,2,Winner
Ardea cinerea,0.560455549961622,0.1533478876512078,0.910241966279642,TRUE,PELECANIFORMES,Ardeidae,Ardea,1383.5,901,5,62203.68,37.5,1.998631074606434,34.6,4000,46421646.29,Wetland,3,1,Carnivore,Aquatic predator,Terrestrial,0.14702154626108999,0.85297845373891,1.3111704544485419,3,1,1,Winner
Ardeola bacchus,0.28215699307486397,-0.06170465316639832,0.6163169253096805,FALSE,PELECANIFORMES,Ardeidae,Ardeola,295,506,3,17382.13824,18.788256854256858,1.666188933433286,26.8,1450,5458763.13,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,0.14702154626108999,0.85297845373891,1.2744344613570702,3,2,2,Stable
Athene noctua,0.29762190933009436,-0.13259165891676186,0.7677037884185937,FALSE,STRIGIFORMES,Strigidae,Athene,140,228,4,17442,11.1,0.999315537303217,31.8,2600,26742298.73,Human Modified,3,1,Carnivore,Omnivore,Insessorial,0.1761723700887199,0.8238276299112801,1.3314262269219472,4,1,1,Stable
Aythya ferina,0.4103569738550281,0.03962593395360536,0.7766399443071172,TRUE,ANSERIFORMES,Anatidae,Aythya,866,448,8,65567.538,23.2,0.999315537303217,50.1,2690,16611109.18,Wetland,3,1,Herbivore,Herbivore aquatic,Aquatic,0.024081115335868188,0.9759188846641318,1.3184414008846588,3,1,1,Winner
Aythya fuligula,0.27464956427708626,-0.0748934484577748,0.6551043117846197,FALSE,ANSERIFORMES,Anatidae,Aythya,657.5,403,9,50581.29,45.2,0.999315537303217,50.1,3000,20377977.97,Wetland,3,2,Omnivore,Herbivore aquatic,Aquatic,0.024081115335868188,0.9759188846641318,1.3201881774311703,3,2,2,Stable
Aythya nyroca,0.4727502421235225,0.08754757730084019,0.828024834858891,TRUE,ANSERIFORMES,Anatidae,Aythya,650,400.5,9,31411.2468,19.497104563492066,1.26436966689482,48.9,4200,6827514.86,Wetland,3,3,Herbivore,Herbivore aquatic,Aquatic,0.024081115335868188,0.9759188846641318,1.3111522940204476,3,3,3,Winner
Bambusicola thoracicus,0.434368610471491,0.0920562762655804,0.7874952129584791,TRUE,GALLIFORMES,Phasianidae,Bambusicola,283.5,307.5,8.5,12640.86,13.530592370129868,1.106027758764924,23.9,1000,1284965.77,Forest,2,1,Herbivore,Omnivore,Terrestrial,0.1761723700887199,0.8238276299112801,1.4166856373617664,1,1,1,Winner
Bubulcus coromandus,0.23524215211005953,-0.2128212583884335,0.7159341326404642,FALSE,PELECANIFORMES,Ardeidae,Bubulcus,987.1152964898994,614.1884365079364,3.903827692265192,56549.22864886227,22.959334523809524,2.0801586849723384,39.26944567099568,1714.4053900543906,7285193.679925817,NA,2,NA,NA,NA,NA,NA,0.8238276299112801,1.2820406497352757,2,NA,2,Stable
Buteo hemilasius,0.3599988784512823,-0.0409746557369453,0.7719996992898033,FALSE,ACCIPITRIFORMES,Accipitridae,Buteo,1560,602,3,96532.8,29.598777655677644,3.1580960013254664,38.2,3500,5366251.83,Grassland,3,1,Carnivore,Vertivore,Generalist,0.05449936628643853,0.9455006337135614,1.303839608069773,2.5,1,1,Stable
Buteo japonicus,0.5042689867157802,0.07634280278722329,0.902733185726712,TRUE,ACCIPITRIFORMES,Accipitridae,Buteo,762.5,545,2.5,71677.44,25.664747619047606,2.2644889481003463,41.2,1300,4465171.4,Grassland,3,2,Carnivore,Vertivore,Insessorial,0.05449936628643853,0.9455006337135614,1.3248262290662318,2.5,2,2,Winner
Butorides striata,0.3737369393766084,-0.00432588507798913,0.7687368054545471,FALSE,PELECANIFORMES,Ardeidae,Butorides,315,435,5,25681.39425,19.695339285714287,1.5259445259280984,29.8,3000,53556698.29,Wetland,3,1,Carnivore,Aquatic predator,Terrestrial,0.14702154626108999,0.85297845373891,1.2680604674708245,3,1,1,Stable
Carpodacus erythrinus,0.28475712834475503,-0.07829184298868225,0.6543448746714767,FALSE,PASSERIFORMES,Fringillidae,Carpodacus,22.5,147.5,4.5,2592.2688,9,0.999315537303217,30.8,4350,23264611.24,Shrubland,2,3,Herbivore,Granivore,Insessorial,0.07858048162230671,0.9214195183776933,1.2616893288397997,2,3,3,Stable
Cecropis daurica,0.26253304295559254,-0.1373417088568556,0.7238449408567212,FALSE,PASSERIFORMES,Hirundinidae,Cecropis,24,180.5,5,2696.625,9,0.9938398357289528,53.2,3900,18735899.27,Grassland,3,3,Carnivore,Invertivore,Aerial,0.47275031685678076,0.5272496831432192,1.3628393847331837,2.5,3,3,Stable
Ceryle rudis,0.5353703149348388,0.13738190507702058,0.9001316655825392,TRUE,CORACIIFORMES,Alcedinidae,Ceryle,102,273,4.5,8812.8,3.9,0.9938398357289528,34.5,2500,23875911.23,Wetland,3,1,Carnivore,Aquatic predator,Insessorial,0.14702154626108999,0.85297845373891,1.3753640400378047,3,1,1,Winner
Chaimarrornis leucocephalus,0.09450485280636524,-0.33571711423274864,0.5772871760401472,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0.8238276299112801,1.3388224008265444,2,NA,2,Stable
