species,trend_class,trend_slope,bio4,bio7,bio11,bio13,elev_mean,hfi_mean,landcover_built,landcover_cropland
Aix galericulata,expanding,0.04686703267668358,303.6787337843633,35.97138646446657,18.29775897076067,13.825747778491483,811.5216802279035,4.550385824471922,0.01052748813811095,0.061920933254289365
Motacilla tschutschensis,expanding,0.03285079948204407,289.3051316305177,34.73299354709018,19.84843528996952,13.593594240565436,851.8287220647209,4.400767357691604,0.01089415835045816,0.05463400792449299
Falco amurensis,expanding,0.05740096459241119,413.7387404653205,43.965369249452195,29.78289168691905,17.28080478690682,1001.9378530739406,5.747251535230051,0.01408719195153462,0.0722680130047706
Delichon dasypus,stable,-0.009652148347089202,112.12887992063257,9.459997161901594,6.988771142585134,3.837775218827027,128.2496731676189,1.4949243218893125,0.0030497696651719023,0.016895315226578177
Lonchura striata,expanding,0.010095940733350788,6.5189720488526435,0.4892644473233973,0.2932175752508644,0.24249814525851676,9.567314240215978,0.06285438190670091,1.5391638041847513e-4,5.88912166098392e-4
Garrulax canorus,expanding,0.020159490236599346,48.56919777494028,3.2103324699285474,2.7724244437154013,1.5131258493667703,59.29641626541304,0.4394350555099916,9.877925629448209e-4,0.0027813403746880885
Amaurornis phoenicurus,expanding,0.01621110060044387,79.10608784196204,5.248324628684137,4.8304482349883635,2.5216918384690508,89.4207142282323,0.7978211710474501,0.0016441218206992552,0.008349021365427466
Lanius tephronotus,stable,0.0021914751247374053,159.24098874440244,11.450699526989425,9.994671037170418,4.901759771071976,128.24791906089663,2.0949673408743936,0.005710777044086779,0.012021304344100996
Columba livia,contracting,-0.06315437260239982,335.7519509579889,38.85999701862251,23.73109526142763,15.3981091620133,969.0288660162124,4.636730924563761,0.010875458503651745,0.05047112492504836
Phylloscopus claudiae,stable,0.023555524656519423,226.87243582116096,14.51156964058533,15.104917882930115,6.930551368902165,193.63311363719086,2.8010792123131143,0.007188510122595516,0.023560762511515565
Emberiza elegans,stable,0.015939959686898562,295.3803852700146,33.94437747944437,16.932445565009527,13.19418201357837,772.4423304271406,4.4003868820616265,0.010916052822418986,0.0538023459237903
Gyps himalayensis,stable,0.003430621835724586,295.4158689035553,29.416884747801962,21.335666888754158,12.468936580240856,778.9711296039326,3.9633321645866406,0.00929255937116241,0.03217379358627753
Recurvirostra avosetta,expanding,0.06984175310458524,412.3285071565459,45.50235775855335,30.97032808591053,18.26410177531813,1151.7847798944445,5.824719591294618,0.013317152686096291,0.07031489954481816
Culicicapa ceylonensis,expanding,0.0292043527665016,21.4583753804789,1.5941051194062428,1.0833016437947622,0.7682457147715835,25.310319514037207,0.24456789234440515,4.78468600067864e-4,0.001792561108433928
Columba rupestris,expanding,0.018253363055623806,409.48610666955386,42.16436923093416,30.169267923626453,16.964738285394475,974.4713250187415,5.64071847921361,0.013403426736474633,0.06314712174616963
Apus nipalensis,expanding,0.030143857788785085,9.09604730931575,0.5209530899401071,0.5264080449773231,0.2613713927166237,8.25181210175807,0.07544321165505284,1.6804482595476935e-4,4.937675188052862e-4
Accipiter nisus,expanding,0.03253790431306104,314.84250317696603,34.71614964730311,22.439350838622993,13.748173674333637,846.2568324992274,4.468874943880574,0.010824648866879226,0.05196491708086182
Tringa ochropus,expanding,0.045829846903929564,302.5214846230428,33.38616442449961,21.026234623434938,13.211952346988346,799.9767945597746,4.3931624237730755,0.010772929746938421,0.05330224780360569
Phoenicurus ochruros,expanding,0.008444191591947536,301.42747471230166,28.036858031525544,22.330046090879314,11.873225034171973,665.1603722329503,3.8416332964171915,0.008559969896428562,0.02776515148896319
Turdus rubrocanus,stable,-0.006464311490360539,142.1441979497907,11.322929961504613,8.136240321757397,4.506681741161641,121.1904963567056,1.9255348101575804,0.004554078030495462,0.011004486757907507
Carpodacus erythrinus,stable,0.012771981007595901,324.2072002807311,33.9358066323424,24.133767210669514,13.967098893640346,852.3216869972426,4.263267550891788,0.009314030372780113,0.045495307265629906
Psilopogon virens,expanding,0.029735408426858335,14.360869960468934,1.0587273292230246,0.9353426134252539,0.4654448096595937,10.749339159339694,0.24093652003494165,7.871931403012846e-4,0.004960165173195797
Gallinago gallinago,expanding,0.0329140939309589,291.85196035610954,37.98258431015792,19.276288340837144,14.72226078975202,992.7291145846792,4.276497208827014,0.009665888190284876,0.05580743819439515
Prinia flaviventris,expanding,0.013556774538832946,6.881500523641109,0.5180537735449513,0.5828554434507293,0.20219817164094173,2.4637626224668407,0.15598506749364285,6.761385521075136e-4,0.004327296217824982
Motacilla citreola,expanding,0.03840226459013556,319.7859014324446,34.140543397776014,23.704986675940916,13.637325857144994,788.8457803181478,4.530663220603202,0.010678968624011105,0.05472581429673649
Accipiter soloensis,stable,0.00811630742706953,182.55771525081187,14.705962892160795,10.92991242085422,6.137889141021358,218.13661411099483,2.5398056509827587,0.00772807517054484,0.024658994788850138
Accipiter trivirgatus,expanding,0.022708265005757122,9.143885399709575,0.6953593741616542,0.4098585584187572,0.3364140055493024,13.285514298463893,0.09383144338543174,2.4153612025655118e-4,9.83607443151169e-4
Cisticola juncidis,stable,0.002421986413695133,175.53680999731094,13.322392263398982,10.466095278563737,5.611429047960604,197.04100148926085,2.1250858542177027,0.006111106460991101,0.01676384339339832
Dicrurus leucophaeus,expanding,0.01638173806479763,14.03083851936238,1.033388183621286,0.7205512049219831,0.5111928881258523,26.94870754149017,0.11989166735154116,2.462950587261167e-4,7.839656638550008e-4
Ardea intermedia,expanding,0.07581973426892323,236.70244093421744,20.734123621120062,15.723940755691297,8.905374862542464,484.4413321092824,2.9156121934070747,0.007168844183602764,0.02816419132003921
Lonchura punctulata,expanding,0.020450664777685295,9.555564073569732,0.6451340743852576,0.4369160671534294,0.3336791424295864,11.831289936353212,0.08751284163055564,2.106147714987084e-4,9.418605828044414e-4
Orthotomus sutorius,expanding,0.012787418075174776,0.8920854519614619,0.03988804824237166,0.10415705157715037,0.020906965044801648,0.7087460691757866,0.010679142277590557,5.4543695592218403e-05,9.647774248803153e-5
Falco subbuteo,expanding,0.029474079758301828,348.4813042010205,39.79393199092515,24.299928897180155,15.665513282303975,978.2726088185825,5.082236814036284,0.012461495705922983,0.06037465316712856
Pericrocotus ethologus,stable,0.003270756816163009,196.9159827027012,12.456600792436415,12.570186812188915,5.674781942029087,151.633338526299,2.532367429844523,0.008105964330708378,0.015062675339175777
Muscicapa sibirica,stable,0.006774801042102399,234.5023808422857,26.119110739521506,16.055147813206588,10.175120535328594,622.4185047464002,3.36321681094603,0.0083288707761112,0.04529361401529517
Picumnus innominatus,expanding,0.01580905012111773,5.339819008745734,0.5192393087058174,0.2794836701851245,0.2231880616641217,11.055320420815173,0.06616956853903651,1.9700354545748448e-4,6.194032922428532e-4
Sternula albifrons,expanding,0.03969769248738522,477.3406478685331,53.92084168398847,35.48273054031326,21.424305936910525,1425.9767515061799,6.875121577935493,0.016993379902237545,0.08620409252966622
Butorides striata,stable,0.015175668947832541,204.36084900813876,20.987303571791376,12.274070757444978,8.842467625012823,547.5580541278437,2.8160856967388144,0.006653540018587255,0.04166709178307725
Yungipicus canicapillus,expanding,0.03363831978811646,224.72961993343822,17.985750049285112,13.79711243230009,8.123648772702559,347.89444632486254,2.607482888598889,0.006060449566906278,0.0266119928679776
Periparus ater,stable,0.003294398095393764,374.3918345604601,42.606389217230564,24.008231717798104,17.539139848584366,1111.207063826853,5.031253792237666,0.01102572432820294,0.05539040548083077
Phylloscopus magnirostris,stable,-0.005233232540159587,133.36760256088743,10.108584116569231,8.379318958306985,4.082897195391897,100.91785925585944,1.8049581400660946,0.004476774752819607,0.01042153758523263
Tarsiger cyanurus,stable,0.016752107628566472,221.64417562059,28.076962606380576,14.007267060337687,10.683610573656502,622.7575448649224,3.1786088577701594,0.00694947995167418,0.04614446671082647
Cuculus sparverioides,stable,-0.007653398213502595,51.528388968192985,4.2375739344423575,2.383882864214494,2.0000732744909144,72.97923529915985,0.5680127940853485,0.0012321997707375114,0.0055150599423309295
