species,diet_specialization,habitat_breadth,Habitat,Habitat.Density,Migration,Trophic.Level,Primary.Lifestyle,migration_score
Recurvirostra avosetta,0.6999999999999997,8,Wetland,3,2,Carnivore,Terrestrial,2
Culicicapa ceylonensis,1,2,Woodland,1,1,Carnivore,Insessorial,1
Columba rupestris,0.5999999999999996,8,Rock,3,1,Herbivore,Terrestrial,1
Apus nipalensis,1,2,Human Modified,1,3,Carnivore,Aerial,3
Accipiter nisus,1,2,Forest,1,2,Carnivore,Insessorial,2
Tringa ochropus,0.5999999999999996,8,Wetland,3,3,Carnivore,Terrestrial,3
Phoenicurus ochruros,0.49999999999999983,8,Rock,3,2,Omnivore,Insessorial,2
Turdus rubrocanus,0,2,Forest,1,1,Omnivore,Generalist,1
Carpodacus erythrinus,0.3,5,Shrubland,2,3,Herbivore,Insessorial,3
Psilopogon virens,0.6,2,Forest,1,1,Herbivore,Insessorial,1
Gallinago gallinago,0.6999999999999997,8,Wetland,3,3,Carnivore,Terrestrial,3
Prinia flaviventris,1,8,Shrubland,3,1,Carnivore,Insessorial,1
Motacilla citreola,1,8,Wetland,3,3,Carnivore,Terrestrial,3
Accipiter soloensis,0.5999999999999996,2,Forest,1,3,Carnivore,Insessorial,3
Accipiter trivirgatus,0.3999999999999998,2,Forest,1,1,Carnivore,Insessorial,1
Cisticola juncidis,0.6000000000000001,8,Grassland,3,3,Carnivore,Generalist,3
Dicrurus leucophaeus,0.6999999999999997,2,Forest,1,1,Carnivore,Insessorial,1
Ardea intermedia,0.6,8,Wetland,3,2,Carnivore,Terrestrial,2
Lonchura punctulata,0.39999999999999997,5,Grassland,2,1,Herbivore,Generalist,1
Orthotomus sutorius,0.8,5,Shrubland,2,1,Carnivore,Insessorial,1
Falco subbuteo,0.39999999999999997,8,Woodland,3,3,Carnivore,Aerial,3
Pericrocotus ethologus,0.6999999999999997,2,Forest,1,3,Carnivore,Insessorial,3
Muscicapa sibirica,1,2,Forest,1,3,Carnivore,Insessorial,3
Picumnus innominatus,1,2,Forest,1,1,Carnivore,Insessorial,1
Sternula albifrons,0.6,8,Coastal,3,3,Carnivore,Aerial,3
Butorides striata,0.09999999999999999,8,Wetland,3,1,Carnivore,Terrestrial,1
Yungipicus canicapillus,0.6,5,NA,NA,NA,NA,NA,2
Periparus ater,0.6,2,Forest,1,1,Omnivore,Insessorial,1
Phylloscopus magnirostris,1,2,Forest,1,3,Carnivore,Insessorial,3
Tarsiger cyanurus,0.6999999999999997,2,Forest,1,3,Carnivore,Generalist,3
Cuculus sparverioides,0.8,5,NA,NA,NA,NA,NA,2
Cyanoderma ruficeps,0.6,2,Shrubland,1,1,Carnivore,Insessorial,1
Eurystomus orientalis,1,5,Woodland,2,3,Carnivore,Aerial,3
Anas carolinensis,0.6,8,Wetland,3,2,Omnivore,Aquatic,2
Acrocephalus bistrigiceps,1,8,Wetland,3,3,Carnivore,Insessorial,3
Centropus sinensis,0.1333333333333333,5,Woodland,2,1,Carnivore,Terrestrial,1
Buteo hemilasius,0.6999999999999997,8,Grassland,3,1,Carnivore,Generalist,1
Pycnonotus aurigaster,0.16,5,Shrubland,2,1,Herbivore,Insessorial,1
Fringilla montifringilla,0.19999999999999993,2,Forest,1,3,Herbivore,Generalist,3
