variable,importance,draw,group
delta_t_mean,0.011834414021464144,63,climate_change
delta_t_extreme,0.02441380751280426,63,climate_change
delta_forest,0.00840991266401629,63,landuse_change
delta_impervious,0.0227281124509861,63,landuse_change
delta_natural,0.010414629823277026,63,landuse_change
delta_hfi,0.010194174462389717,63,human_change
bio11,0.044963033650202794,63,baseline
elev_mean,0.03333429415157887,63,baseline
centroid_lon,0.09259865865481298,63,baseline
centroid_lat,0.01938327580561505,63,baseline
delta_t_mean,0.011277192515075498,285,climate_change
delta_t_extreme,0.023572113312324682,285,climate_change
delta_forest,0.01489204164435397,285,landuse_change
delta_impervious,0.02458382828340243,285,landuse_change
delta_natural,0.013348351822287271,285,landuse_change
delta_hfi,0.009839706273540486,285,human_change
bio11,0.01788347272400543,285,baseline
elev_mean,0.022379241265665605,285,baseline
centroid_lon,0.08284021744454385,285,baseline
centroid_lat,0.019915973767420873,285,baseline
delta_t_mean,0.01642929512281793,289,climate_change
delta_t_extreme,0.036490306917536415,289,climate_change
delta_forest,0.009651980233289724,289,landuse_change
delta_impervious,0.021115367819176743,289,landuse_change
delta_natural,0.013283999915539576,289,landuse_change
delta_hfi,0.011857554942185086,289,human_change
bio11,0.029085206544641043,289,baseline
elev_mean,0.01687552534167595,289,baseline
centroid_lon,0.14362143171843958,289,baseline
centroid_lat,0.022240885511867765,289,baseline
delta_t_mean,0.010217160677306589,252,climate_change
delta_t_extreme,0.01990919684010176,252,climate_change
delta_forest,0.007990900423504569,252,landuse_change
delta_impervious,0.016817057569855926,252,landuse_change
delta_natural,0.009048369839296402,252,landuse_change
delta_hfi,0.007660799580031381,252,human_change
bio11,0.03112731321983749,252,baseline
elev_mean,0.03135978289047366,252,baseline
centroid_lon,0.06470975124431104,252,baseline
centroid_lat,0.02091949166385696,252,baseline
delta_t_mean,0.013324844081498472,345,climate_change
delta_t_extreme,0.027267609345388712,345,climate_change
delta_forest,0.008749875251334081,345,landuse_change
delta_impervious,0.020732734187573976,345,landuse_change
