grid_cell,selected,plan,budget
1383,0,A_richness_led,0.3
1384,0,A_richness_led,0.3
1385,0,A_richness_led,0.3
1386,0,A_richness_led,0.3
1393,0,A_richness_led,0.3
1400,0,A_richness_led,0.3
1410,0,A_richness_led,0.3
1412,0,A_richness_led,0.3
1413,0,A_richness_led,0.3
1414,0,A_richness_led,0.3
1415,0,A_richness_led,0.3
1416,0,A_richness_led,0.3
1417,0,A_richness_led,0.3
1418,0,A_richness_led,0.3
1419,0,A_richness_led,0.3
1420,0,A_richness_led,0.3
1421,0,A_richness_led,0.3
1422,0,A_richness_led,0.3
1423,0,A_richness_led,0.3
1424,0,A_richness_led,0.3
1425,0,A_richness_led,0.3
1426,0,A_richness_led,0.3
1427,0,A_richness_led,0.3
1428,0,A_richness_led,0.3
1429,0,A_richness_led,0.3
1430,0,A_richness_led,0.3
1448,0,A_richness_led,0.3
1449,0,A_richness_led,0.3
1450,0,A_richness_led,0.3
1452,0,A_richness_led,0.3
1453,0,A_richness_led,0.3
1454,0,A_richness_led,0.3
1455,0,A_richness_led,0.3
1456,0,A_richness_led,0.3
1462,0,A_richness_led,0.3
1465,0,A_richness_led,0.3
1466,0,A_richness_led,0.3
1468,0,A_richness_led,0.3
1471,0,A_richness_led,0.3
1476,0,A_richness_led,0.3
1479,0,A_richness_led,0.3
1480,0,A_richness_led,0.3
1481,0,A_richness_led,0.3
1482,0,A_richness_led,0.3
1483,0,A_richness_led,0.3
1484,0,A_richness_led,0.3
1485,0,A_richness_led,0.3
1486,0,A_richness_led,0.3
1487,0,A_richness_led,0.3
1488,0,A_richness_led,0.3
1489,0,A_richness_led,0.3
1490,0,A_richness_led,0.3
1491,0,A_richness_led,0.3
1492,0,A_richness_led,0.3
1493,0,A_richness_led,0.3
1494,0,A_richness_led,0.3
1495,1,A_richness_led,0.3
1496,1,A_richness_led,0.3
1497,1,A_richness_led,0.3
1498,1,A_richness_led,0.3
1499,1,A_richness_led,0.3
1500,1,A_richness_led,0.3
1502,1,A_richness_led,0.3
1518,0,A_richness_led,0.3
1520,0,A_richness_led,0.3
1521,0,A_richness_led,0.3
1522,0,A_richness_led,0.3
1523,0,A_richness_led,0.3
1528,0,A_richness_led,0.3
1529,0,A_richness_led,0.3
1533,0,A_richness_led,0.3
1536,0,A_richness_led,0.3
1537,0,A_richness_led,0.3
1538,0,A_richness_led,0.3
1539,0,A_richness_led,0.3
1540,0,A_richness_led,0.3
1542,0,A_richness_led,0.3
1550,0,A_richness_led,0.3
1551,0,A_richness_led,0.3
1552,0,A_richness_led,0.3
1553,0,A_richness_led,0.3
1554,0,A_richness_led,0.3
1555,0,A_richness_led,0.3
1556,0,A_richness_led,0.3
1557,0,A_richness_led,0.3
1558,0,A_richness_led,0.3
1559,0,A_richness_led,0.3
1560,0,A_richness_led,0.3
1561,0,A_richness_led,0.3
1562,0,A_richness_led,0.3
1563,1,A_richness_led,0.3
1564,1,A_richness_led,0.3
1565,1,A_richness_led,0.3
1566,0,A_richness_led,0.3
1567,1,A_richness_led,0.3
1568,1,A_richness_led,0.3
1569,1,A_richness_led,0.3
1570,1,A_richness_led,0.3
1571,1,A_richness_led,0.3
1586,0,A_richness_led,0.3
1587,0,A_richness_led,0.3
1588,0,A_richness_led,0.3
1589,0,A_richness_led,0.3
1590,0,A_richness_led,0.3
1591,0,A_richness_led,0.3
1592,0,A_richness_led,0.3
1593,0,A_richness_led,0.3
1594,0,A_richness_led,0.3
1602,0,A_richness_led,0.3
1608,0,A_richness_led,0.3
1609,0,A_richness_led,0.3
1610,0,A_richness_led,0.3
1612,0,A_richness_led,0.3
1613,0,A_richness_led,0.3
1614,0,A_richness_led,0.3
1616,0,A_richness_led,0.3
1617,0,A_richness_led,0.3
1618,0,A_richness_led,0.3
1619,0,A_richness_led,0.3
1620,0,A_richness_led,0.3
1621,0,A_richness_led,0.3
1622,0,A_richness_led,0.3
1623,0,A_richness_led,0.3
1624,0,A_richness_led,0.3
1625,0,A_richness_led,0.3
1626,0,A_richness_led,0.3
1627,0,A_richness_led,0.3
1629,0,A_richness_led,0.3
1630,0,A_richness_led,0.3
1631,0,A_richness_led,0.3
1632,0,A_richness_led,0.3
1633,1,A_richness_led,0.3
1634,1,A_richness_led,0.3
1635,1,A_richness_led,0.3
1636,1,A_richness_led,0.3
1637,1,A_richness_led,0.3
1639,1,A_richness_led,0.3
1640,1,A_richness_led,0.3
1641,1,A_richness_led,0.3
1642,1,A_richness_led,0.3
1658,0,A_richness_led,0.3
1659,0,A_richness_led,0.3
1660,0,A_richness_led,0.3
1661,0,A_richness_led,0.3
1662,0,A_richness_led,0.3
1666,0,A_richness_led,0.3
1669,0,A_richness_led,0.3
1672,0,A_richness_led,0.3
1674,0,A_richness_led,0.3
1675,0,A_richness_led,0.3
1676,0,A_richness_led,0.3
1678,0,A_richness_led,0.3
1679,0,A_richness_led,0.3
1680,0,A_richness_led,0.3
1681,0,A_richness_led,0.3
1684,0,A_richness_led,0.3
1685,0,A_richness_led,0.3
1686,0,A_richness_led,0.3
1687,0,A_richness_led,0.3
1688,0,A_richness_led,0.3
1689,0,A_richness_led,0.3
1692,0,A_richness_led,0.3
1693,0,A_richness_led,0.3
1694,0,A_richness_led,0.3
1695,0,A_richness_led,0.3
1696,0,A_richness_led,0.3
1697,0,A_richness_led,0.3
1698,0,A_richness_led,0.3
1699,0,A_richness_led,0.3
1700,0,A_richness_led,0.3
1701,0,A_richness_led,0.3
1702,0,A_richness_led,0.3
1703,0,A_richness_led,0.3
1704,0,A_richness_led,0.3
1705,0,A_richness_led,0.3
1706,0,A_richness_led,0.3
1707,1,A_richness_led,0.3
1708,1,A_richness_led,0.3
1710,1,A_richness_led,0.3
1711,0,A_richness_led,0.3
1712,0,A_richness_led,0.3
1731,0,A_richness_led,0.3
1732,0,A_richness_led,0.3
1733,0,A_richness_led,0.3
1734,0,A_richness_led,0.3
1738,0,A_richness_led,0.3
1739,0,A_richness_led,0.3
1743,0,A_richness_led,0.3
1748,0,A_richness_led,0.3
1749,0,A_richness_led,0.3
1753,0,A_richness_led,0.3
1755,0,A_richness_led,0.3
1756,0,A_richness_led,0.3
1757,0,A_richness_led,0.3
1758,0,A_richness_led,0.3
1759,0,A_richness_led,0.3
1760,0,A_richness_led,0.3
1761,0,A_richness_led,0.3
1762,0,A_richness_led,0.3
1764,0,A_richness_led,0.3
1765,0,A_richness_led,0.3
1766,0,A_richness_led,0.3
1767,0,A_richness_led,0.3
1769,0,A_richness_led,0.3
1770,0,A_richness_led,0.3
1772,0,A_richness_led,0.3
1773,0,A_richness_led,0.3
1774,0,A_richness_led,0.3
1775,0,A_richness_led,0.3
1776,0,A_richness_led,0.3
1777,1,A_richness_led,0.3
1778,1,A_richness_led,0.3
1779,1,A_richness_led,0.3
1782,1,A_richness_led,0.3
1783,1,A_richness_led,0.3
1803,0,A_richness_led,0.3
1804,0,A_richness_led,0.3
1805,0,A_richness_led,0.3
1806,0,A_richness_led,0.3
1807,0,A_richness_led,0.3
1809,0,A_richness_led,0.3
1815,0,A_richness_led,0.3
1816,0,A_richness_led,0.3
1819,0,A_richness_led,0.3
1820,0,A_richness_led,0.3
1821,0,A_richness_led,0.3
1823,0,A_richness_led,0.3
1824,0,A_richness_led,0.3
1825,0,A_richness_led,0.3
1826,0,A_richness_led,0.3
1828,0,A_richness_led,0.3
1829,0,A_richness_led,0.3
1830,0,A_richness_led,0.3
1831,0,A_richness_led,0.3
1832,0,A_richness_led,0.3
1833,0,A_richness_led,0.3
1834,0,A_richness_led,0.3
1835,0,A_richness_led,0.3
1836,0,A_richness_led,0.3
1837,0,A_richness_led,0.3
1838,0,A_richness_led,0.3
1839,0,A_richness_led,0.3
1840,0,A_richness_led,0.3
1841,0,A_richness_led,0.3
1842,0,A_richness_led,0.3
1843,0,A_richness_led,0.3
1844,0,A_richness_led,0.3
1845,0,A_richness_led,0.3
1846,0,A_richness_led,0.3
1847,0,A_richness_led,0.3
1848,1,A_richness_led,0.3
1849,1,A_richness_led,0.3
1850,1,A_richness_led,0.3
1851,1,A_richness_led,0.3
1852,1,A_richness_led,0.3
1853,1,A_richness_led,0.3
1854,1,A_richness_led,0.3
1855,1,A_richness_led,0.3
1856,1,A_richness_led,0.3
1875,0,A_richness_led,0.3
1876,0,A_richness_led,0.3
1877,0,A_richness_led,0.3
1878,0,A_richness_led,0.3
1879,0,A_richness_led,0.3
1880,0,A_richness_led,0.3
1881,0,A_richness_led,0.3
1882,0,A_richness_led,0.3
1884,0,A_richness_led,0.3
1892,0,A_richness_led,0.3
1895,0,A_richness_led,0.3
1896,0,A_richness_led,0.3
1897,0,A_richness_led,0.3
1899,0,A_richness_led,0.3
1900,0,A_richness_led,0.3
1901,0,A_richness_led,0.3
1902,0,A_richness_led,0.3
1903,0,A_richness_led,0.3
1904,0,A_richness_led,0.3
1905,0,A_richness_led,0.3
1906,0,A_richness_led,0.3
1907,0,A_richness_led,0.3
1908,0,A_richness_led,0.3
1909,0,A_richness_led,0.3
1910,0,A_richness_led,0.3
1911,0,A_richness_led,0.3
1912,0,A_richness_led,0.3
1913,0,A_richness_led,0.3
1914,0,A_richness_led,0.3
1916,0,A_richness_led,0.3
1917,0,A_richness_led,0.3
1918,0,A_richness_led,0.3
1919,1,A_richness_led,0.3
1920,1,A_richness_led,0.3
1921,1,A_richness_led,0.3
1922,1,A_richness_led,0.3
1923,1,A_richness_led,0.3
1924,1,A_richness_led,0.3
1925,1,A_richness_led,0.3
1926,1,A_richness_led,0.3
1927,1,A_richness_led,0.3
1928,1,A_richness_led,0.3
1950,0,A_richness_led,0.3
1951,0,A_richness_led,0.3
1952,0,A_richness_led,0.3
1953,0,A_richness_led,0.3
1967,0,A_richness_led,0.3
1968,0,A_richness_led,0.3
1969,0,A_richness_led,0.3
1970,0,A_richness_led,0.3
1971,0,A_richness_led,0.3
1972,0,A_richness_led,0.3
1973,0,A_richness_led,0.3
1974,0,A_richness_led,0.3
1975,0,A_richness_led,0.3
1976,0,A_richness_led,0.3
1977,0,A_richness_led,0.3
1978,0,A_richness_led,0.3
1979,0,A_richness_led,0.3
1980,0,A_richness_led,0.3
1981,0,A_richness_led,0.3
1982,0,A_richness_led,0.3
1983,0,A_richness_led,0.3
1984,0,A_richness_led,0.3
1985,0,A_richness_led,0.3
1986,0,A_richness_led,0.3
1987,0,A_richness_led,0.3
1988,0,A_richness_led,0.3
1989,0,A_richness_led,0.3
1990,1,A_richness_led,0.3
1991,1,A_richness_led,0.3
1992,1,A_richness_led,0.3
1993,1,A_richness_led,0.3
1994,1,A_richness_led,0.3
1995,1,A_richness_led,0.3
1996,1,A_richness_led,0.3
1997,1,A_richness_led,0.3
1998,1,A_richness_led,0.3
2024,0,A_richness_led,0.3
2027,0,A_richness_led,0.3
2028,0,A_richness_led,0.3
2039,0,A_richness_led,0.3
2040,0,A_richness_led,0.3
2041,0,A_richness_led,0.3
2044,0,A_richness_led,0.3
2045,0,A_richness_led,0.3
2046,0,A_richness_led,0.3
2047,0,A_richness_led,0.3
2048,0,A_richness_led,0.3
2049,0,A_richness_led,0.3
2050,0,A_richness_led,0.3
2051,0,A_richness_led,0.3
2052,0,A_richness_led,0.3
2053,0,A_richness_led,0.3
2054,0,A_richness_led,0.3
2055,0,A_richness_led,0.3
2056,0,A_richness_led,0.3
2057,0,A_richness_led,0.3
2058,0,A_richness_led,0.3
2059,0,A_richness_led,0.3
2060,0,A_richness_led,0.3
2061,1,A_richness_led,0.3
2062,1,A_richness_led,0.3
2063,1,A_richness_led,0.3
2064,1,A_richness_led,0.3
2065,1,A_richness_led,0.3
2066,1,A_richness_led,0.3
2067,1,A_richness_led,0.3
2068,1,A_richness_led,0.3
2069,1,A_richness_led,0.3
2111,0,A_richness_led,0.3
2112,0,A_richness_led,0.3
2113,0,A_richness_led,0.3
2114,0,A_richness_led,0.3
2116,0,A_richness_led,0.3
2117,0,A_richness_led,0.3
2118,0,A_richness_led,0.3
2119,0,A_richness_led,0.3
2120,0,A_richness_led,0.3
2121,0,A_richness_led,0.3
2122,0,A_richness_led,0.3
2123,0,A_richness_led,0.3
2124,0,A_richness_led,0.3
2125,0,A_richness_led,0.3
2126,0,A_richness_led,0.3
2127,0,A_richness_led,0.3
2128,0,A_richness_led,0.3
