species,method,mean,sd,q025,q25,median,q75,q975,p_positive,p_negative,trend_class,trend_grade,mk_S,mk_tau,mk_p
Buteo japonicus,theil_sen,0.04131634545550776,0.016845965539575458,0.007162625562922457,0.029920629009218276,0.04160326108318423,0.052839653406006167,0.07275762461415025,1,0,expanding,strong_expanding,8,0.8,0.08641073297370003
Gelochelidon nilotica,theil_sen,0.04659827586905335,0.01021980566217031,0.026091565942974036,0.039437719725420914,0.04731269174140088,0.053486517762077704,0.06817410971899088,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Eumyias thalassinus,theil_sen,0.020564264560086327,0.00779472146797259,0.0030598419881855314,0.015716728930508666,0.02005824879740698,0.025595479516668004,0.034628146068553016,0.995,0.005,expanding,strong_expanding,10,1,0.02748633611151034
Sitta villosa,theil_sen,-0.013914668691469416,0.011989442401368785,-0.039463970880106815,-0.021487496502995716,-0.012272508649020158,-0.005097486972313829,0.0065504247687746394,0.13,0.87,stable,stable,-6,-0.6,0.2206713619198468
Alauda gulgula,theil_sen,-0.014886859103929626,0.015776470356105125,-0.05030572720600045,-0.02537569508119341,-0.013266132706302882,-0.003947549385870351,0.011643176493980256,0.16,0.84,stable,stable,-4,-0.4,0.4624327264504763
Calidris ruficollis,theil_sen,0.028899703653613027,0.010201650815737014,0.009777518647339722,0.021340701764680944,0.02911276390640168,0.03686173174369424,0.04704711820155872,0.99,0.01,expanding,expanding,10,1,0.02748633611151034
Pernis ptilorhynchus,theil_sen,0.09148988542518659,0.021076261318302546,0.044465615134860866,0.07912433567692231,0.09251717288542265,0.10715567524748158,0.12464080366882867,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Limosa limosa,theil_sen,0.053908736563414036,0.012995450210879991,0.03101085566773617,0.04449562370285368,0.055046640934384106,0.06296808957898901,0.07636364003954692,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Phylloscopus pulcher,theil_sen,0.0018455229713687821,0.006555342413350164,-0.01233925363728731,-0.0021429662795739712,0.002941592103818752,0.006037496767778526,0.013006438872034084,0.645,0.355,stable,stable,2,0.2,0.8064959405073402
Ardea purpurea,theil_sen,0.05925593118671118,0.010937579020048455,0.03580857222944306,0.0528525935061478,0.05975312446139322,0.06619093456641664,0.07877937929951528,1,0,expanding,strong_expanding,10,1,0.02748633611151034
