mean,sd,q025,median,q975,metric,method,grid_cell,hfi_q
2.6601999984341123,0.18113019878488432,2.3339411734373177,2.663986869070478,3.032571660654007,corrected_richness,ols,592,Q2
2.525013374002281,0.17225121462419277,2.175968753713061,2.516077872758122,2.885805003421419,corrected_richness,ols,593,Q1 (low HFI)
2.495297748229592,0.2050334313801418,2.121279653673628,2.48592940477341,2.8875205455188273,corrected_richness,ols,625,Q3
2.7350371090189554,0.202643673072482,2.3494036632822177,2.731787990309561,3.116560418394989,corrected_richness,ols,626,Q4 (high HFI)
2.9038539969638086,0.1982624855564084,2.5125328210119102,2.903291191780035,3.2982186049866513,corrected_richness,ols,627,Q3
2.77273191684417,0.19662661414007124,2.386952309247391,2.7701189627640272,3.162261118737375,corrected_richness,ols,628,Q3
3.0250950077637526,0.2003813402090668,2.628703051454919,3.020888488723034,3.429107528781051,corrected_richness,ols,629,Q4 (high HFI)
3.0734470441775037,0.2154313783507004,2.6855417327895337,3.072970279100981,3.54571407957413,corrected_richness,ols,630,Q4 (high HFI)
3.4997281189329534,0.231873266981824,3.0827450838099693,3.5041693657368853,3.933889732125279,corrected_richness,ols,634,Q4 (high HFI)
2.9561341626044193,0.22063046768335756,2.57101029746908,2.9568237028477835,3.389511823891215,corrected_richness,ols,635,Q4 (high HFI)
2.481275715741225,0.2022551997280672,2.076700557531377,2.481665204395688,2.888340188803099,corrected_richness,ols,636,Q4 (high HFI)
2.76463926785702,0.23618768563744333,2.335715001310682,2.7705269230450473,3.2027235954791915,corrected_richness,ols,637,Q4 (high HFI)
3.164930744183353,0.21507631618870776,2.751037273269059,3.1735076290723407,3.610980587586392,corrected_richness,ols,640,Q3
2.3525052493541745,0.17506952284867025,2.0283671191889807,2.358365696965291,2.656418430950467,corrected_richness,ols,663,Q1 (low HFI)
2.4862620998663094,0.1654234506758322,2.181595978239965,2.4814191028766777,2.806038085571887,corrected_richness,ols,664,Q1 (low HFI)
2.520085417924867,0.1680982396782329,2.20444710223584,2.5208074607720636,2.866706916385618,corrected_richness,ols,665,Q1 (low HFI)
2.48569585437272,0.1642280403928318,2.175612575527526,2.493663451847969,2.8142715551823954,corrected_richness,ols,666,Q2
3.3522900145684473,0.2320384090654832,2.909956885646256,3.3411121199262626,3.817231439897357,corrected_richness,ols,696,Q4 (high HFI)
3.056786478391145,0.2213748135983947,2.590947189139284,3.0535234763550916,3.444477310575557,corrected_richness,ols,698,Q4 (high HFI)
3.358386740724785,0.2227150167671984,2.927727897350956,3.3554000468892946,3.838410022459356,corrected_richness,ols,699,Q4 (high HFI)
3.2948262571979656,0.2878687477937452,2.7711795054638024,3.295519332904429,3.875683791616261,corrected_richness,ols,700,Q1 (low HFI)
3.444801814071873,0.26538325112439115,2.944915990317855,3.4325704672756174,4.002717949135581,corrected_richness,ols,701,Q1 (low HFI)
2.9492095031935803,0.275191014993859,2.405999119371385,2.9565759667499982,3.4470364694929696,corrected_richness,ols,702,Q1 (low HFI)
2.7866911128148004,0.24375002146487088,2.30478096678088,2.788111091345541,3.299383126441306,corrected_richness,ols,704,Q2
2.8704979313182357,0.23577231517228608,2.425164789924719,2.8660967671907223,3.3137650406182715,corrected_richness,ols,705,Q2
4.363415085047929,0.26545455174586896,3.839408339011,4.363155388960004,4.863510174933625,corrected_richness,ols,706,Q1 (low HFI)
3.928695433076362,0.2664063097520012,3.3602687387820875,3.9389140234478974,4.430818346445831,corrected_richness,ols,708,Q1 (low HFI)
3.880649129748619,0.2599349082691919,3.3133519593836547,3.888004698950747,4.3275532587209735,corrected_richness,ols,710,Q1 (low HFI)
3.923243979997975,0.2584252736977461,3.422912543903584,3.922510759577283,4.361766686463116,corrected_richness,ols,711,Q1 (low HFI)
3.6823533742126706,0.26828210705915584,3.0900224744164846,3.7015044650667024,4.157568124605314,corrected_richness,ols,712,Q1 (low HFI)
3.8051653656715696,0.26061898268518724,3.2859398457594877,3.8021755526019767,4.3145833517862044,corrected_richness,ols,716,Q1 (low HFI)
3.44335512536509,0.27069639321627326,2.93370009681075,3.4492174119223753,3.98064387000188,corrected_richness,ols,717,Q1 (low HFI)
2.3073108951393517,0.17281455183999664,1.9467072022750465,2.305450069938028,2.676460970671605,corrected_richness,ols,735,Q1 (low HFI)
2.531773487436258,0.15431325713105143,2.254234404730912,2.5295551045906985,2.8245406892426383,corrected_richness,ols,736,Q2
2.4672675597674067,0.156441957348863,2.1929494808310723,2.47169582631414,2.7680040753776165,corrected_richness,ols,737,Q3
2.531760164758,0.15719785775527378,2.242968947468015,2.521465643026387,2.850784487338996,corrected_richness,ols,738,Q2
2.811142591617438,0.248171477557508,2.3065838554556333,2.808417599666746,3.2930255560227963,corrected_richness,ols,772,Q1 (low HFI)
2.9288934332452428,0.2371874505330301,2.4529815941158364,2.927603613032974,3.3565101875326495,corrected_richness,ols,773,Q1 (low HFI)
3.239479871480168,0.23897494032740343,2.770256683904354,3.2536532292350246,3.7024242969757175,corrected_richness,ols,774,Q1 (low HFI)
3.189299785366071,0.2326721616212474,2.7014825225176984,3.193751415604075,3.622484489370235,corrected_richness,ols,775,Q1 (low HFI)
3.3618653844429467,0.2352616891262836,2.882669773541758,3.3596581571346698,3.79305410646201,corrected_richness,ols,776,Q1 (low HFI)
3.6868801437168064,0.2590507324535308,3.1653754973584953,3.7095485309577256,4.17703536177537,corrected_richness,ols,777,Q1 (low HFI)
3.226894463662126,0.22492321564428452,2.7547751725547975,3.233697911788294,3.676965974871369,corrected_richness,ols,778,Q1 (low HFI)
2.383827397065544,0.17993734579271986,2.065208272630066,2.3683709732494096,2.74869993665878,corrected_richness,ols,783,Q2
2.2868466421428018,0.1769390018057078,1.964017387629592,2.2759392938670855,2.6176979332067836,corrected_richness,ols,784,Q2
2.6132631113867895,0.1734705527189377,2.2793766810073866,2.6023205788620025,2.9705213743545964,corrected_richness,ols,787,Q2
2.5260794570565217,0.17143126055438968,2.2099587577773008,2.52746791079674,2.856146686620106,corrected_richness,ols,788,Q2
1.9555124877115375,0.1920138721369856,1.604910074669048,1.9457963052147709,2.3456039634089025,corrected_richness,ols,804,Q4 (high HFI)
2.2820304895339194,0.18853546115057973,1.9213695782096516,2.2796521069416857,2.6304695342232103,corrected_richness,ols,805,Q3
2.2947433997290436,0.19264891132896136,1.9115301577870667,2.3071182064395943,2.6523900040593897,corrected_richness,ols,806,Q2
2.1362222995446416,0.21101579703919648,1.7100700141187075,2.1425510244838657,2.5460715856953975,corrected_richness,ols,807,Q4 (high HFI)
2.422348800457734,0.20515964686818317,2.0244946285453103,2.422895554176846,2.839279541866227,corrected_richness,ols,808,Q4 (high HFI)
2.4528643469120186,0.15328523281712195,2.1815641070662104,2.4502365917343543,2.7691700270992294,corrected_richness,ols,809,Q1 (low HFI)
2.572519584318094,0.16616022179499948,2.255877711919241,2.57165772764578,2.9061004520891247,corrected_richness,ols,810,Q1 (low HFI)
2.626674275206953,0.16810045165472878,2.30944407645252,2.622385362876784,2.968385844365624,corrected_richness,ols,811,Q2
2.6315588178318907,0.1948820882055287,2.2442783736240512,2.63068775750923,3.0031308961610845,corrected_richness,ols,812,Q2
2.5083633879178042,0.19012617992826245,2.14373887022161,2.509039414893116,2.874244948392887,corrected_richness,ols,813,Q1 (low HFI)
3.781151486355117,0.1994245422205048,3.393454403083794,3.7906894352451665,4.18898512694148,corrected_richness,ols,845,Q3
2.958764371425514,0.20478055701668696,2.5596279261335715,2.9478629385187576,3.3702819410900533,corrected_richness,ols,846,Q3
3.533361114137191,0.18939953469489315,3.1707619348288394,3.543182382137696,3.919235586449288,corrected_richness,ols,847,Q3
3.798890754988123,0.2104851670271937,3.396393073107924,3.811421458677112,4.203320742252686,corrected_richness,ols,848,Q3
3.752767350248287,0.20000217308228435,3.3687349313456356,3.757260377098948,4.155124830844002,corrected_richness,ols,849,Q4 (high HFI)
3.448604277943433,0.1980279092163799,3.0863134484235317,3.448515415578453,3.84773208730649,corrected_richness,ols,850,Q3
2.821692654448999,0.20574083350950736,2.438871336054888,2.822461132703574,3.223836337574684,corrected_richness,ols,851,Q4 (high HFI)
