species,method,mean,sd,q025,q25,median,q75,q975,p_positive,p_negative,trend_class,trend_grade,mk_S,mk_tau,mk_p
Ciconia nigra,theil_sen,0.04843472720791935,0.016957056933119382,0.016822132304362605,0.03782581004675033,0.04798398119236164,0.05971621923388856,0.08097314248299499,0.9975,0.0025,expanding,strong_expanding,10,1,0.02748633611151034
Turdus hortulorum,theil_sen,0.02329177720113805,0.009673446440881495,0.004055337622755984,0.01622367666414181,0.023194145550445678,0.030271605965406057,0.04128139593696888,0.9925,0.0075,expanding,strong_expanding,10,1,0.02748633611151034
Phylloscopus plumbeitarsus,theil_sen,0.005951680155995417,0.012040429852332247,-0.01894357261387036,-3.0938289186282705e-4,0.005622600722774633,0.01209221137960513,0.035032852104244123,0.74,0.26,stable,stable,4,0.4,0.4624327264504763
Parus major,theil_sen,0.024494725922887223,0.006395349097982696,0.011296138678563513,0.020561024748982085,0.025316998292005986,0.02887381808616426,0.03560640524486265,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Horornis acanthizoides,theil_sen,-0.005968935297934682,0.0125387919058583,-0.0316953783811726,-0.013771407337415484,-0.005343648623872288,0.002107996343236785,0.016489260478229947,0.34,0.66,stable,stable,-2,-0.2,0.8064959405073402
Fulvetta cinereiceps,theil_sen,-0.007985425095281209,0.00879257844533141,-0.028121716604275336,-0.01345798874854003,-0.007593187110799296,-0.0025112208431549354,0.007725992134676666,0.1725,0.8275,stable,stable,-4,-0.4,0.4624327264504763
Phylloscopus affinis,theil_sen,-1.857100744783656e-4,0.00699502548637086,-0.014318018988353385,-0.0046663159636770365,-9.555258353411442e-5,0.004137599054318848,0.01475391344359193,0.4925,0.5075,stable,stable,-2,-0.2,0.8064959405073402
Larvivora sibilans,theil_sen,0.019913103387510855,0.014667426894148634,-0.012813488274036241,0.011192177462849739,0.02034813501629843,0.030781713775863518,0.045458016678715525,0.905,0.095,stable,stable,8,0.8,0.08641073297370003
Zosterops erythropleurus,theil_sen,0.025640622725746968,0.02078912179166398,-0.0155027664277622,0.013447025395274186,0.02731253360128377,0.03851254322559768,0.06688767997646612,0.875,0.125,stable,stable,10,1,0.02748633611151034
Yuhina nigrimenta,theil_sen,0.010043784613176893,0.0071865643017046035,-0.005599987026574359,0.005862703987450588,0.010671873333923821,0.014925747423738615,0.022638338409766465,0.91,0.09,stable,stable,8,0.8,0.08641073297370003
Oenanthe oenanthe,theil_sen,0.02663509984833841,0.009346102570507319,0.005745493348008337,0.02085807579237653,0.026741726421748935,0.03279239804057333,0.042693363470769095,0.9975,0.0025,expanding,strong_expanding,8,0.8,0.08641073297370003
Phylloscopus castaniceps,theil_sen,0.03454418045980723,0.014722056097996778,0.0032741151573310325,0.025477806001771373,0.03632639574534206,0.045124871688167215,0.058515897466252145,0.9775,0.0225,expanding,expanding,10,1,0.02748633611151034
Larus relictus,theil_sen,0.024837946002268962,0.008310652103483338,0.007564297758034358,0.01938830835601256,0.025227908274249873,0.030845120655234284,0.03962492688242749,0.9975,0.0025,expanding,strong_expanding,10,1,0.02748633611151034
Phylloscopus tenellipes,theil_sen,0.022260222734751554,0.014958376119469744,-0.008271908573549706,0.013239309566059003,0.024082597219282617,0.03211739366745194,0.048804384925255025,0.915,0.085,stable,stable,8,0.8,0.08641073297370003
Horornis flavolivaceus,theil_sen,-0.02054676807761162,0.013913443883867605,-0.05102626491314192,-0.027968436355994417,-0.019684288576575313,-0.01105733507323747,0.0018170186755516004,0.05,0.95,stable,stable,-8,-0.8,0.08641073297370003
Hirundapus caudacutus,theil_sen,-0.01637293015481169,0.024153211773070695,-0.06434662035405707,-0.03154518295823197,-0.013232976747943059,2.4732566579829633e-4,0.028537413257637447,0.2575,0.7425,stable,stable,-4,-0.4,0.4624327264504763
Anthus spinoletta,theil_sen,0.0236722427251252,0.01553072909444994,-0.004826341087276963,0.012758081612206307,0.023231641954148882,0.034320902947244096,0.05446524145593009,0.945,0.055,stable,stable,6,0.6,0.2206713619198468
Blythipicus pyrrhotis,theil_sen,0.009374781666498837,0.006565557656914541,-0.003746885220712407,0.004988204735708801,0.00958231404912268,0.013500737114739274,0.022317176051475263,0.925,0.075,stable,stable,8,0.8,0.08641073297370003
Clamator coromandus,theil_sen,0.013196480465617924,0.011830384503746318,-0.00987886516473337,0.0049933172309026,0.0131862377271092,0.021175296085739394,0.03573331201912411,0.8725,0.1275,stable,stable,10,1,0.02748633611151034
