species,trend_class,trend_slope,bio4,bio7,bio11,bio13,elev_mean,hfi_mean,landcover_built,landcover_cropland,centroid_lat,centroid_lon
Himantopus himantopus,expanding,0.07513418023937025,384.5057697051007,42.9841475405189,27.63872123188123,17.0224304371307,1075.2257058800703,5.320569717741853,0.01197473883340685,0.06443688373740551,38.0659239573295,108.73049121231246
Urocissa erythroryncha,expanding,0.04462354150957543,132.3299969831265,9.344484502618773,7.044269429848258,4.3599582451408745,187.9044341788153,1.384466336604441,0.003588271152324348,0.010410584906110151,30.84794135766853,111.23873511140278
Aegithalos concinnus,expanding,0.009998939924273772,8.762933289100408,1.1456925799468096,0.3604520897053035,0.47963771081302387,27.509241870326075,0.10039373165087263,1.6144096138757843e-4,8.115976298587295e-4,28.68639626410814,109.69193930513264
Lanius cristatus,stable,0.004230734292804698,286.4056951572198,31.48644746003405,19.81335380857765,12.305501022412475,719.3981781268952,4.117289679676168,0.010088482620256075,0.0531598629185105,35.7504350294262,113.03171620711214
Fulica atra,expanding,0.10928598426153271,322.48619792106854,36.2331005674519,22.688287997773923,14.356727110008102,879.4060374489403,4.5161121681918415,0.01039708796837952,0.05568912479846934,36.939237560225756,108.12124100431689
Horornis fortipes,expanding,0.01665311781636013,19.45843065211191,2.2931051800436917,0.8474262219010102,0.9624589027036783,44.37687544672523,0.241181784888915,4.836837535112119e-4,0.002351474509246791,29.040744839428964,110.37653806425615
Eophona migratoria,stable,0.013974903524330083,220.29957351473806,23.80796351771925,12.01457673248842,9.560188839884011,530.3898318300155,2.874190699935261,0.00584549936224988,0.02893704565026407,34.38933503566122,115.18881285804652
Podiceps cristatus,expanding,0.06266070765622982,355.4878733613948,38.9671566466589,24.930622025085295,15.436860910997666,942.9162333761967,4.984541950903251,0.011466123342165312,0.0592719736654773,37.8071640910992,106.84195534802069
Picus canus,stable,0.004133241436553465,290.2925595895635,33.561432891766785,19.089004968637834,13.088691835226575,742.294705615312,4.018532571942887,0.009058034846107146,0.048656159210010715,37.01790099614852,110.85371536335843
Phylloscopus inornatus,expanding,0.02988041526933748,224.88559888499228,27.146410506815258,14.329177533457385,10.57345499734093,674.4036841797035,3.3393121216468837,0.00845659208141435,0.045373306239136234,34.56899584579004,114.09397985851946
Pterorhinus sannio,expanding,0.03971416469597567,17.23099876017726,1.4237255685813324,0.9278632852479359,0.5912586254382884,19.3580633760791,0.1702333527543607,3.11882003090559e-4,0.0010643182874750647,28.677055786253817,108.33546308885221
Motacilla cinerea,stable,0.01918299625388841,278.6154947429613,33.008995313316404,19.217952251260186,12.98388364823124,833.9846195640148,4.134348286618791,0.010179000131500346,0.05095492681077414,36.07627594922643,107.86406798088214
Sterna hirundo,expanding,0.047525642225207054,371.63666986709956,41.33105846820452,27.002314271742364,16.237445511751286,966.6568405455636,5.308392170168745,0.012375124558406319,0.06377651365552031,38.51706216496718,105.12870631388844
Falco tinnunculus,expanding,0.041954990435085215,311.02552431131693,34.351448299816916,22.20650463302467,13.606489820267479,840.0123612006495,4.412302112205054,0.010682291166509879,0.051416943930577094,36.55734340455309,106.12755211844342
Hypsipetes leucocephalus,stable,0.007192942412961836,2.236667494743756,0.19162092285640114,0.1211536281317446,0.08955843367081734,4.927894798752376,0.025422587255520775,8.858281138646754e-5,2.4154357543131234e-4,27.378025005225734,108.9572298352522
Apus apus,stable,0.0063794216501984686,473.63690892685804,52.25602520157192,33.45945127304579,20.679153367982323,1264.5005776648754,6.882084222137585,0.01683803706388338,0.08079466491068486,40.75324220681369,105.00654773605457
Cuculus micropterus,expanding,0.02015562895270054,202.83251663464745,25.02360077809571,12.289947598137742,9.852500801007414,670.451188623899,2.9340759692361114,0.007593197694313477,0.037080304114426234,33.87926672822691,114.35329220373828
Phalacrocorax carbo,expanding,0.03517301231234484,357.50058585810075,39.70644020642351,25.69341103681806,15.694774872609539,978.4145694943988,5.062309431637959,0.012144805207785348,0.06023475893045941,37.60295164098474,107.7779293025632
Phoenicurus fuliginosus,expanding,0.024464575464730662,61.72529568650716,3.948514650612636,4.181949811440856,1.8046663524900046,48.23388995895898,0.7983788717430528,0.0026175499504484554,0.005619021422439099,30.32018285343677,106.67258954372983
Prinia inornata,expanding,0.02437855934359233,15.509769508605835,1.0599956977676344,0.6377265438690646,0.48693786741295236,16.010760597802356,0.19550143836959674,0.0011217022675759426,0.0011966537091399145,28.27707673957435,111.03388573247874
Milvus migrans,stable,0.02350539871813886,274.20358343570217,30.939187643851795,19.957669599487982,12.213082375642319,752.137535363763,3.8189034921366383,0.008557280881004603,0.04522501173149519,35.926120677004896,104.10664897829628
Bubulcus coromandus,stable,-1.388195648874495e-4,132.94267211795434,10.434474880821838,8.8526562082687,4.434581840966743,180.50832027216396,1.6020038407756858,0.004372215332469823,0.02126567338244014,31.35708032240566,110.10133448255304
Phylloscopus proregulus,expanding,0.013555598092160403,247.78542594052723,28.84799782643531,15.970662826579101,11.042668469188387,657.5658834855792,3.6666620528369895,0.009195089545732381,0.049293900617309025,34.982719800643096,113.95448428875513
Acrocephalus orientalis,expanding,0.050248769908117455,366.156509167219,39.14560355163484,26.090977581672803,15.358159219940966,887.6536600256426,5.14068456186709,0.01259632921565207,0.06556631317935027,37.40974638096306,114.95212978782641
Aegithalos glaucogularis,expanding,0.034282585344759794,368.82033517859145,32.599522131388156,22.595880416879027,13.282192988037824,561.4216469077145,4.632803261361293,0.009764850821929665,0.04529935271815214,37.970997898465264,113.74168802562431
Eudynamys scolopaceus,expanding,0.021259268410538382,70.93137442809186,5.2625110148120635,4.354310330577723,2.4656232530971565,90.65387327209628,0.9019841786512315,0.0025237645443505433,0.007867063157186069,30.170177177427277,111.3348232525343
Anthus hodgsoni,stable,-0.006704847104453383,189.57508367807006,20.910762370486804,11.934768596016168,7.969344198819146,405.5100382124128,2.8234545508129205,0.006964569363147322,0.039320980652526545,33.87590023124577,110.88892823283909
Pterorhinus perspicillatus,expanding,0.03853057986896289,31.400337279813883,3.505005583807236,1.3783247709714868,1.4252422728661385,61.49390626225487,0.4192018831983717,8.23367829445054e-4,0.0043300836297353535,28.660387969733417,113.34922796189201
Charadrius dubius,expanding,0.03632609767488941,368.2186551242892,41.47157341136143,26.525868406466472,16.317162367786466,1020.0821592780007,5.331108558670642,0.013247100137214574,0.06425207548565545,37.592618613975255,109.27426059405677
Poecile palustris,expanding,0.026590974574832924,503.99986286498944,58.70811760925687,30.711609651589306,22.511942332179764,1227.2751386790912,7.994810065898508,0.020635581230322386,0.10833835435829094,41.87743793091145,118.40985108726235
Actitis hypoleucos,expanding,0.02609096526718598,312.6296734409307,35.08917577978023,22.460916535575667,13.876191320214325,869.5271285185405,4.469475548313421,0.010878694991771543,0.05294307618410439,36.458848624641014,107.39201878739085
Tadorna ferruginea,expanding,0.04841662263489904,360.54289392818777,36.8438030414832,26.11847618479168,14.909811787301985,886.4461752897141,4.899754061573226,0.011546401582820286,0.05505380808332859,37.63962203966957,103.37490366039678
Passer cinnamomeus,expanding,0.0329842963845264,129.98586604684203,9.178931604851943,8.543383107743093,4.257479895791754,163.5472601256526,1.5517863977207842,0.003815822906915607,0.009326527422604943,31.82402901132693,106.7998953859282
Vanellus cinereus,expanding,0.07812376506572583,327.94333572112333,32.87238162352115,24.801817675212607,13.19359523494047,768.1099797057923,4.589024711104518,0.011430380569291514,0.05848156105083579,35.89053640682326,113.81015867203496
Pycnonotus xanthorrhous,expanding,0.030758920951200728,14.805639824140048,1.5933922107882468,0.6753650466442775,0.6336009664644345,25.57669879488619,0.18290970296604642,2.969471480931976e-4,0.001274797391580929,29.294468414534265,106.99654132421637
Emberiza spodocephala,stable,0.01639477530023636,258.91261211815095,31.03917163768809,15.800411427087315,11.709109185669645,655.2603088091064,4.045145739646723,0.010226093960830192,0.0558629260845492,35.7909107961582,114.6942503675242
Ixobrychus sinensis,expanding,0.03364585178405539,309.50377158333424,29.18728500721147,21.732375394483086,11.953429081458053,695.5515789052914,4.082726783950226,0.010219104428787155,0.051265015925584474,34.75617283559234,114.97935715481535
Oriolus chinensis,expanding,0.015497639369681647,214.68324925196274,25.028410307618625,11.689441501635178,9.554804710626113,542.0389181484688,3.3477345310838107,0.008435196284233821,0.046775335717619666,34.20451271786942,114.48037891770441
Emberiza pusilla,stable,0.016002307093250297,231.80064367399925,27.78625943863286,14.482230895499145,10.714205692589873,660.9518103811782,3.257718905609896,0.007635655417957696,0.03936539857374467,34.85956436766053,113.2739853185504
Chroicocephalus ridibundus,expanding,0.0604521337052043,378.4705576460287,42.56579361975174,26.95782401827953,16.876274835029268,1083.6865844393208,5.247029526540299,0.01228996108644341,0.06317296817799145,37.94231472079004,107.86096909526775
Pycnonotus jocosus,expanding,0.017236080688451144,28.683633884118343,1.146958872219139,2.964802819928291,0.6854485019530424,17.6949260242124,0.2193836589610322,4.057910462384558e-4,0.0012918327059721435,25.76657319944092,109.81560289495314
Streptopelia decaocto,expanding,0.034552766796438684,507.0502727942553,51.54991912971736,36.866083093686,20.958603099747478,1258.9733715332995,6.866368247311687,0.0164784369641429,0.07403841590570687,40.514250183264444,105.00236853087289
Pomatorhinus ruficollis,expanding,0.019245901962902656,3.0723174368534205,0.29010840210900696,0.16592461933183394,0.12827381338923233,6.688283575811187,0.034696050668768005,1.0664365454481982e-4,2.6572262276514677e-4,27.792407365173688,108.37934871043883
Bambusicola thoracicus,expanding,0.01977934168222575,17.058706643331448,2.1935964719481267,0.8131794836076452,0.8022055115116261,32.638036374245615,0.24939657370056298,5.255908188351613e-4,0.0022091650994074544,28.61353972589403,111.69974761174662
Pardaliparus venustulus,stable,-0.003436441147517035,244.25481859065363,23.17924037298747,13.795662978406256,9.514753767117233,447.4229612637148,3.140651823187334,0.007360207294028666,0.029614434695690858,34.78195441584083,113.6534031601754
Ficedula albicilla,stable,0.005683127490713345,279.4801330593425,30.827615191673058,19.863950957959652,12.082504859206699,702.993834210999,3.961120575242043,0.009646288172246395,0.050940667931351755,35.59663229054891,112.31124180214849
Picoides canicapillus,expanding,0.08140693155121777,264.6812051246886,27.067861907000093,15.776900469301435,10.687885117903914,497.54112056445786,4.000388597105591,0.010364128135628432,0.04848634662299356,35.47758854539125,113.91967138052064
Hemixos castanonotus,expanding,0.02057207166516551,4.798582319759054,0.4977795187989672,0.2592385179087237,0.2126110537056167,10.648523055190235,0.06380369608312292,1.9161748597475715e-4,7.37590570547662e-4,26.601723820864226,112.67026864952088
Tringa glareola,stable,0.021704179792975068,311.24736471279095,36.07578414437696,21.36010606783288,14.103392067016078,865.4471389541297,4.483025581928096,0.009926708199020754,0.05828565524956175,36.86395130679066,109.87655587237457
Abroscopus albogularis,expanding,0.025525256823008137,14.347414250391813,1.409390557330289,0.629943947362278,0.5924604276568046,22.849986088613978,0.1866948787447266,5.06122711266654e-4,0.001936640112712236,28.443591769208528,109.99430300300472
Saxicola stejnegeri,expanding,0.043651131242530415,260.8461448610037,32.45567338939673,17.08777308311821,12.405781620417358,769.6803190408559,3.8321581375089933,0.008813498167584836,0.05367649335771277,35.604421158516516,115.36342314123496
Garrulus glandarius,stable,0.005324263147105242,193.73005931933355,25.774636127271215,10.995957520026037,9.7597640904383,569.7591062447476,3.1253402542219386,0.008238922145825212,0.04063856144897873,34.53713854517313,113.0304056457251
Chlidonias hybrida,expanding,0.07844341048910351,366.9386708804295,41.1442860777001,26.374890419254672,16.09010134974784,1009.8703360859395,5.168090275744416,0.012280408802174415,0.06224766515541174,37.89023309833315,110.77254913459946
Corvus corone,expanding,0.03895416649268325,370.36802311894263,42.20695611029918,26.05676910363397,16.66155147243418,1049.2813074209648,5.325670841676776,0.01288736832745258,0.06321591421826761,38.36122232822484,105.44122363173925
Trochalopteron elliotii,stable,-0.006335116987626941,65.36443892511093,6.901017649121001,2.7903027780783827,2.6263753332068918,88.79584889991928,0.8136315037058562,0.0011478744784980354,0.004395650005563837,33.11215028494475,98.64599232039302
Parus monticolus,stable,0.009378651717345837,31.9785403474245,3.156974535614026,1.623315059815933,1.346772302638557,65.56175158843558,0.372810187281934,5.393603681547303e-4,0.0019538419112891427,30.359288872701402,101.0705476415012
Phylloscopus fuscatus,stable,0.02083278294920461,237.8797056886492,27.262938036666835,15.284876419659696,10.420167654827726,562.342219104873,3.582186014655966,0.008928868077101922,0.049308316500988714,34.93988944013588,111.83586375091122
Myophonus caeruleus,expanding,0.01981872826150326,36.0767206809175,2.649546053896904,1.8174754082486049,1.245026372248899,50.108427606146336,0.4599044990836511,0.0013445289097362297,0.0038020690731628507,29.23917108925411,106.88725165917754
Pyrrhocorax pyrrhocorax,stable,0.003943372486544439,369.9149939395391,34.23376684166044,27.288922685423188,14.196261411658655,805.108805927696,4.994148453727287,0.011840655191853237,0.04647852758508343,37.59095628603446,97.46353871768875
Ficedula zanthopygia,stable,0.01294545188934006,287.7785994434195,34.47677171729516,17.870873754664213,13.317310591954934,803.634970648246,4.296674559050931,0.010035460234918045,0.05844452604352379,36.401012257109024,116.00393045312755
Pericrocotus cantonensis,stable,0.005200218554510808,18.428847798497387,1.9994199427134112,0.950117318272766,0.8063628245263121,30.07178187318996,0.2766636626078997,6.993219877138812e-4,0.003733328496482918,28.75285874841644,111.23061042364162
Ixos mcclellandii,expanding,0.03136401500371833,3.7857875510958063,0.32892284009943706,0.20575196269660995,0.1475889946919599,6.898212505664447,0.04382853248044351,1.49168646638961e-4,3.3283615615944267e-4,27.7069250405074,109.39454541504632
Tringa nebularia,expanding,0.04408735663966773,292.4988771432894,36.61239885658634,19.10916566266439,14.281378139511231,925.0768316561275,4.368226368414243,0.009233187150824048,0.061504701656259354,36.77269986983272,111.46881603738115
Dicrurus hottentottus,stable,-0.0043954365120517465,73.09072129900217,4.712637762064526,4.271365487409929,2.3364410002946743,83.08102038321378,0.804753897211741,0.002537378870940496,0.005265000710094917,29.532795671965633,111.03622343827313
Gracupica nigricollis,expanding,0.020265733582482855,18.763769090580766,1.8639649861962158,0.8320983874596518,0.8000467314591916,33.246521493895685,0.2172413930739913,5.02267474973078e-4,0.002222139463716071,27.304027709273676,113.2582939976891
Tringa totanus,expanding,0.0433004257249102,364.0581331047304,39.409318768126944,25.860589976239215,15.682885680916185,952.507659072565,5.098605789069736,0.011961469076309237,0.057311479668612025,37.67546559854378,103.25356941068131
Hierococcyx sparverioides,expanding,0.04270709899433075,64.88858302311479,4.276372942353662,4.274393549531884,1.9623485842625918,63.60796281068176,0.7896621337158418,0.002458717065412826,0.005817745658029876,30.213706702670013,108.55849223547219
Leiothrix lutea,stable,-0.00411503070607089,26.080216278753824,2.2980038367282027,1.0659221695667926,0.994991856008609,48.662305333744534,0.2300558872540978,4.0216211647966154e-4,0.001629734092453475,28.53151319977453,109.26446699124504
Charadrius alexandrinus,expanding,0.04622346930480586,338.6498578201771,40.66736794852576,22.760226649542027,16.02952431984303,1037.2985756877285,5.075209383482259,0.011517831417359405,0.059907635465519034,37.571088741945566,109.87115327405934
Dendrocitta formosae,expanding,0.016956527024187925,16.361187396922833,1.5178104469826033,0.9860457896549699,0.6248657546864793,20.0208173964105,0.2781377341245215,8.738738153351899e-4,0.005541706629312158,27.291267111743746,111.44391866557193
Aix galericulata,expanding,0.046719132897412495,304.14215116875073,35.95753921110591,18.357293263014196,13.824037755928558,810.2294688294136,4.555836277480568,0.010542956718024186,0.06198420021866336,37.14042167233998,115.32734876156245
Motacilla tschutschensis,expanding,0.032698927131901194,288.40406559125915,34.7418867403003,19.788109071318583,13.592967516253744,853.3498462817234,4.397461960768326,0.010898323590953758,0.05466770102703794,36.417467064735995,110.84356045296691
Falco amurensis,expanding,0.05788886015326157,414.0092610596128,44.003766199928926,29.76303114154365,17.284652732568503,1000.875649666934,5.752493733657471,0.014113524513288482,0.07229732457541334,38.651176184716874,114.4857386659907
Delichon dasypus,stable,-0.0095751092872183,112.37742008355603,9.445765262879908,7.061925670359359,3.836819629600378,128.13785998027583,1.4952864354492597,0.0030521061820016544,0.016826071947664275,31.817209361476415,104.25984231100992
Lonchura striata,expanding,0.010162123830555512,6.543423199581665,0.4901047891073005,0.29497495743639357,0.24243213912098824,9.46298082477631,0.06240629746029686,1.547982769009806e-4,5.77725566779828e-4,27.62749593727692,110.70281235067687
Garrulax canorus,expanding,0.020003602018310387,48.87701822765276,3.2232156271480377,2.7807983777558567,1.5187350023294361,59.40439455761971,0.4405980186529527,0.0010037853207921059,0.0027315613902697575,28.87152204385151,111.52853919777507
Amaurornis phoenicurus,expanding,0.016786074002626952,79.05105767358302,5.221385846624885,4.817424093950462,2.524543274337413,89.71570572482128,0.7921213027364556,0.0015940873576158088,0.008194737552648556,29.266399119060527,111.35544304250556
Lanius tephronotus,stable,0.002373538488557741,159.6331384439526,11.466358436706674,10.015445514362991,4.913045474712762,128.27877967746076,2.104738152249516,0.005764623147558177,0.012096784572168411,33.390856483693184,96.6056679352307
Columba livia,contracting,-0.062440298779269265,336.2790709508768,38.818263954851346,23.84028555133009,15.402992207697377,970.0805152326132,4.64187892436021,0.010882858619361717,0.050425685678391036,37.34070082013438,104.15849369955622
Phylloscopus claudiae,stable,0.023760954098823974,225.72763395288328,14.505215866424022,14.967477566118665,6.917007460725551,193.78200261315732,2.8028447884248613,0.007244658819538171,0.023636587892792174,33.100428756911796,105.59234562735419
Emberiza elegans,stable,0.015931970166673984,295.8775198999819,33.94149601322395,16.94601508755944,13.197441431052342,771.0757026129066,4.414216610747461,0.010967101781635881,0.05395677092982039,36.4916236208012,114.71946623420288
Gyps himalayensis,stable,0.0032315415280881566,295.4347173667154,29.434491397913867,21.300511262338528,12.473940435791881,779.0134854760461,3.9659585992891278,0.00929981747343237,0.032260228584236085,36.5098908913698,91.6974307955949
Recurvirostra avosetta,expanding,0.06935988773578713,412.3019203708368,45.5124792239746,30.984052317706414,18.264429307527607,1152.2561074520095,5.82518051842855,0.013338080790650669,0.07043569123779123,38.87097550629259,110.72422440314796
Culicicapa ceylonensis,expanding,0.029182829166605577,22.04054074623865,1.6216454881889717,1.1130198858088245,0.7857208771031098,25.8679881964938,0.24985501423802878,4.874002216247394e-4,0.0018242323022851143,28.991710715132708,104.17705650409505
Columba rupestris,expanding,0.018557920608193522,409.55943615231547,42.18334484287286,30.17195261764978,16.971012666923492,974.7536113875019,5.6427232601248445,0.013408166702694542,0.06322534677474081,39.11767104105664,101.83218059767245
Apus nipalensis,expanding,0.030361066645693015,9.188964838175247,0.536696158865687,0.517100628661489,0.2690782888426037,8.666322245591255,0.07614780249754713,1.6766228134513242e-4,5.153996420245358e-4,28.17548393706579,106.42746347433288
Accipiter nisus,expanding,0.03223772664799053,314.9573109278079,34.72415040087911,22.450382759453543,13.751425258494361,846.250026913737,4.470052219060874,0.010828182121200815,0.05198555149676157,36.81750628569319,105.89822123597018
Tringa ochropus,expanding,0.046083970906338804,302.7507978472711,33.39911616053015,21.06172828005141,13.219349399655185,800.4637938109355,4.397344471000125,0.010791052976709677,0.05329638723354387,36.245877863290474,107.63058727905353
Phoenicurus ochruros,expanding,0.008477322438697154,301.3843655697071,28.0024961835846,22.314614484166338,11.857825243972655,662.1282152368716,3.8469119777196426,0.008584999851419747,0.02784576888735905,36.57433997361282,93.559093679016
Turdus rubrocanus,stable,-0.006529396487332643,142.95798611971503,11.369495088243253,8.185251911788946,4.523940778832289,120.87929856845534,1.9398159363203527,0.004631076530086707,0.01107828883027378,33.91402174536388,96.94716079335713
Carpodacus erythrinus,stable,0.013480647297093034,324.0276122650163,33.91318662136785,24.12809887113951,13.958654390612036,851.8236668621595,4.25886091514006,0.00929584037319459,0.04533251114525024,36.95955740862732,102.66951207012629
Psilopogon virens,expanding,0.029838270004437974,14.561769492988917,1.0714886341165966,0.9540827057294272,0.47299862026434536,11.154998006712574,0.24313855760843392,7.706918120142165e-4,0.005038548313524051,27.484114255607043,107.57678501391406
