grid_cell,naive_trend,corrected_trend,trend_diff,direction_flipped
1093,4.699999999999998,5.572279118935323,0.8722791189353245,FALSE
1094,40.39999999999999,5.817075955427211,-34.58292404457278,FALSE
1095,45.8,5.7038444489438644,-40.096155551056135,FALSE
1096,16.3,5.486941558793407,-10.813058441206593,FALSE
1097,28.899999999999995,5.623522774989243,-23.27647722501075,FALSE
1098,5.3999999999999995,5.7615137451761536,0.3615137451761541,FALSE
1100,0.39999999999999986,5.524374261395405,5.124374261395405,FALSE
1101,2.7999999999999994,5.372549777029439,2.57254977702944,FALSE
1103,1.4,6.482689863761882,5.082689863761882,FALSE
1126,0.5999999999999998,7.101511119495582,6.501511119495582,FALSE
1127,6.399999999999999,7.124149004731708,0.7241490047317098,FALSE
1128,6.299999999999999,7.020734338510624,0.7207343385106251,FALSE
1129,0.5999999999999998,7.104630298261857,6.504630298261858,FALSE
1130,1.9999999999999998,6.628834221896154,4.628834221896154,FALSE
1131,4.799999999999998,6.630630681532383,1.8306306815323854,FALSE
1133,10.299999999999997,6.657072418078566,-3.6429275819214313,FALSE
1134,1.4999999999999998,6.453610287797521,4.953610287797521,FALSE
1137,3.8,6.303432981017243,2.5034329810172435,FALSE
1138,16.999999999999996,6.206031204321912,-10.793968795678085,FALSE
1139,6.8,6.1256765132973525,-0.6743234867026473,FALSE
1140,5.4,6.06371265248266,0.6637126524826593,FALSE
1142,3.9999999999999996,5.707921975949154,1.7079219759491546,FALSE
1143,3.9999999999999987,6.029986353356436,2.029986353356437,FALSE
1144,8.299999999999997,6.52819253513087,-1.771807464869127,FALSE
1145,3.4,7.425188587953338,4.025188587953338,FALSE
1161,19.799999999999997,4.621947384728311,-15.178052615271685,FALSE
1162,31.799999999999997,4.558409913989565,-27.241590086010433,FALSE
1163,10.399999999999999,4.776711906765534,-5.623288093234464,FALSE
1164,12.999999999999996,4.926105781580866,-8.073894218419131,FALSE
1165,18.299999999999997,5.252683843310173,-13.047316156689824,FALSE
1166,17.799999999999997,5.377587636176172,-12.422412363823824,FALSE
1167,37.59999999999999,5.560569873999798,-32.03943012600019,FALSE
1168,11.9,5.733716113140964,-6.166283886859036,FALSE
1169,44.59999999999998,5.991228153326344,-38.60877184667363,FALSE
1170,11.9,5.96417608062411,-5.93582391937589,FALSE
1171,10.4,6.109122741564476,-4.290877258435525,FALSE
1172,10.3,6.220683537179522,-4.079316462820478,FALSE
1173,2.7999999999999994,6.275822873759718,3.4758228737597183,FALSE
1175,15.699999999999994,6.565323753060347,-9.134676246939648,FALSE
1196,3.7999999999999994,8.9278494090527,5.1278494090527005,FALSE
1197,1.9999999999999998,9.641771338434188,7.641771338434188,FALSE
1198,0.9999999999999999,9.91434848819256,8.91434848819256,FALSE
1199,33.499999999999986,9.976710591920364,-23.52328940807962,FALSE
1200,22.69999999999999,9.983331860685217,-12.716668139314772,FALSE
1201,26.099999999999994,6.919717842589966,-19.180282157410026,FALSE
1202,23.599999999999998,6.218065413706644,-17.381934586293355,FALSE
1203,4.4,7.180962598347338,2.7809625983473376,FALSE
1204,0.5999999999999998,5.844958001574423,5.244958001574424,FALSE
1205,12.399999999999995,5.736493412488438,-6.663506587511557,FALSE
1206,11.799999999999995,5.802864022897775,-5.997135977102221,FALSE
1207,3.9,5.800597071624257,1.9005970716242575,FALSE
1208,6.6,5.942174012382791,-0.6578259876172083,FALSE
1209,17.399999999999995,5.477543005127407,-11.922456994872588,FALSE
1210,8.999999999999996,5.058252396638039,-3.941747603361957,FALSE
1211,51.499999999999986,5.0615785956338675,-46.43842140436612,FALSE
1212,35.599999999999994,5.224194693060075,-30.37580530693992,FALSE
1213,16.799999999999997,5.117141595514673,-11.682858404485323,FALSE
1214,3.9999999999999996,4.833235735298604,0.8332357352986048,FALSE
1215,6.5,4.67308026265099,-1.8269197373490096,FALSE
1216,0.19999999999999996,4.582553478839409,4.382553478839409,FALSE
1234,25.6,5.220021020122086,-20.379978979877915,FALSE
1235,24.199999999999996,5.338221029880354,-18.86177897011964,FALSE
1236,26.899999999999995,5.496386902913103,-21.403613097086893,FALSE
1237,28.199999999999992,5.740200200594494,-22.4597997994055,FALSE
1238,15.299999999999995,5.799446174456162,-9.500553825543832,FALSE
1239,3,5.8645104806103205,2.8645104806103205,FALSE
1240,12.700000000000003,5.883130416892401,-6.816869583107602,FALSE
1241,26.299999999999997,5.7034154342588526,-20.596584565741146,FALSE
1242,16.499999999999993,5.592312063802692,-10.907687936197302,FALSE
1243,6.299999999999998,5.457550237506873,-0.8424497624931249,FALSE
1244,0.3999999999999999,5.362404959687837,4.962404959687838,FALSE
1246,1.9999999999999998,5.787246106176485,3.787246106176485,FALSE
1247,3.1999999999999993,5.979315831889456,2.7793158318894564,FALSE
1248,10.899999999999999,6.253582954888596,-4.646417045111402,FALSE
1249,3.8,6.573634862036689,2.7736348620366895,FALSE
1268,1.5999999999999996,7.4160789079088145,5.816078907908815,FALSE
1269,0.7999999999999998,7.638856980301283,6.8388569803012835,FALSE
1270,0.5999999999999998,7.757368908444962,7.157368908444963,FALSE
1271,42.599999999999994,7.605695933485972,-34.99430406651402,FALSE
1272,43.699999999999996,7.46648257365032,-36.23351742634968,FALSE
1273,28.199999999999996,7.318686981973915,-20.88131301802608,FALSE
1274,25.499999999999996,7.135364000989703,-18.364635999010293,FALSE
1275,6.5,7.116294182889302,0.6162941828893018,FALSE
1276,18.2,6.96261939528498,-11.23738060471502,FALSE
1277,6,6.566247912539896,0.5662479125398958,FALSE
1279,1.5999999999999996,6.499849679180428,4.899849679180428,FALSE
1280,5.800000000000001,6.578626352012244,0.7786263520122434,FALSE
1281,26.599999999999998,6.5729010239163435,-20.027098976083654,FALSE
1282,9.199999999999998,6.396262642873731,-2.8037373571262663,FALSE
1283,24.599999999999998,6.06313722136584,-18.53686277863416,FALSE
1284,8.099999999999998,5.975953242686779,-2.124046757313219,FALSE
1286,4.799999999999998,5.963066454956975,1.1630664549569767,FALSE
1287,2.9,6.223340089266479,3.323340089266479,FALSE
1288,6.899999999999999,6.4321268957579365,-0.4678731042420621,FALSE
1289,17.399999999999995,6.257357855182139,-11.142642144817856,FALSE
1305,16.7,4.7763612503291055,-11.923638749670893,FALSE
