metric,period,pa_stratum,n_grid,mean,se,lwr,upr
cwm_pc1,P3,unprotected,924,-0.043729944760084585,0.00473425220903519,-0.08597915548377603,0.034015237954502446
cwm_pc1,P3,partial,232,-0.031980906233242117,0.009349919841474765,-0.06336830050248451,0.04187445951318342
cwm_pc1,P3,protected,91,-0.06450623358226393,0.014465916438281972,-0.10768380439237586,0.03261829169658773
cwm_pc1,P4,unprotected,924,-0.07064692131699282,0.0046036727023025335,-0.10960678746060738,0.00629838284238024
cwm_pc1,P4,partial,232,-0.06069963355739202,0.008994261338170887,-0.08956292215953841,0.015967926650003392
cwm_pc1,P4,protected,91,-0.09863533230868039,0.01383048194576877,-0.13829398286786554,0.0049435851587576254
cwm_pc1,P5,unprotected,924,-0.08663738464648596,0.004301827865229047,-0.1181447395820972,-0.014987385173898408
cwm_pc1,P5,partial,232,-0.07310997572090308,0.008440566918014605,-0.09605146226424002,-0.011012251105889465
cwm_pc1,P5,protected,91,-0.11350390380704156,0.013417140043385142,-0.14603266708754248,-0.023549440871163483
cwm_pc2,P1,unprotected,924,0.1199277105206377,0.004893564709783879,0.007521395277909399,0.18324138573356072
cwm_pc2,P1,partial,232,0.13249895519923022,0.008452472328969238,0.02945679638196081,0.17999624962945118
cwm_pc2,P1,protected,91,0.19009562803387053,0.011025614868437145,0.04511424244784673,0.25867789160684135
cwm_pc2,P2,unprotected,924,0.1115252462098283,0.0048388010594788726,0.007690998712589972,0.16637745788724367
cwm_pc2,P2,partial,232,0.1199367201494836,0.008549499055149349,0.02646080676410528,0.15992258706332219
cwm_pc2,P2,protected,91,0.17753589584915638,0.011011344516065103,0.05462817243543081,0.23514824685770314
cwm_pc2,P3,unprotected,924,0.12126428906881312,0.0048062450925875555,0.02449418630450663,0.16784696489477177
cwm_pc2,P3,partial,232,0.12725029980280095,0.00860718091125787,0.035719508195801636,0.15996021805866134
cwm_pc2,P3,protected,91,0.18765556601665223,0.01117656260294684,0.06017762453906256,0.2360136899374502
cwm_pc2,P4,unprotected,924,0.1358636203117682,0.004708898282373261,0.04536811000998713,0.17660581356639776
cwm_pc2,P4,partial,232,0.14063909101360264,0.00846758041879698,0.049522415552611804,0.16938061213042258
cwm_pc2,P4,protected,91,0.20045904555777497,0.011161869469700183,0.07178220409537751,0.2424184162426847
cwm_pc2,P5,unprotected,924,0.1460289060575591,0.004488627271765633,0.06384372758238416,0.17823550271230817
cwm_pc2,P5,partial,232,0.14684152972823303,0.008146333025196857,0.07447326033419426,0.16913350374973748
cwm_pc2,P5,protected,91,0.20560150506728783,0.011273692676210253,0.09739549839187742,0.23838450137052955
fdis_prob,P1,unprotected,924,1.2496898045858689,0.0033424402064278205,1.2019947516571348,1.2960807776493883
fdis_prob,P1,partial,232,1.26733346571034,0.006378149937375826,1.2180788109383598,1.3139489580038715
fdis_prob,P1,protected,91,1.3014036100590687,0.013429542617269625,1.242714163368902,1.3558694843812238
fdis_prob,P2,unprotected,924,1.2396581277814214,0.0032848231824163976,1.196269410541013,1.2825687519110525
fdis_prob,P2,partial,232,1.2555443485291862,0.006203207750839162,1.2116796383862882,1.2987887113971903
fdis_prob,P2,protected,91,1.2895816143568746,0.012973425602628874,1.2359375291272026,1.3428262827963267
fdis_prob,P3,unprotected,924,1.2371501579157211,0.003256480581188646,1.1970311127605897,1.2763513793167434
fdis_prob,P3,partial,232,1.249949287834996,0.0061772004773061355,1.209488819612757,1.2893198987307677
fdis_prob,P3,protected,91,1.2838855618025242,0.013395650727264815,1.233536643213922,1.3333988444629337
fdis_prob,P4,unprotected,924,1.2249132887367096,0.00305115747025396,1.187440773363441,1.2614425176709307
fdis_prob,P4,partial,232,1.2340934017127907,0.0056676362314460075,1.1964777253316372,1.2709283223616643
fdis_prob,P4,protected,91,1.2610173068545025,0.012892035036668754,1.2140665931098091,1.3069654740674066
fdis_prob,P5,unprotected,924,1.22211397206714,0.0027809313835612617,1.1910262607262774,1.2526560036501933
fdis_prob,P5,partial,232,1.23173585744647,0.004938704456626258,1.201981859184426,1.2604252322581564
fdis_prob,P5,protected,91,1.2427490142074518,0.01095505853785958,1.2031250839817837,1.2813955014935123
fdiv,P1,unprotected,924,0.6923957057123017,8.944645976923348e-4,0.6861476916073687,0.698610546117953
fdiv,P1,partial,232,0.6868886428234352,0.0016281619771193645,0.6808228355342987,0.6928925355258804
fdiv,P1,protected,91,0.6873692037295548,0.0031230945777639936,0.6801072570150535,0.6945604634178246
fdiv,P2,unprotected,924,0.6943876960200455,8.611590661105441e-4,0.6889784136117532,0.6997090166508874
fdiv,P2,partial,232,0.6892695448523757,0.0015600592535751127,0.6840919111151086,0.6943767502341752
fdiv,P2,protected,91,0.6895794383690244,0.0030390743300810806,0.6831988559558233,0.6958731190819212
fdiv,P3,unprotected,924,0.6962195003000065,8.48139968875376e-4,0.6915485667747646,0.7008109644074985
fdiv,P3,partial,232,0.6914926851769898,0.0015214181507844135,0.6871531597757209,0.695712778606537
fdiv,P3,protected,91,0.6918477970818362,0.0030344674897750095,0.6862402999417488,0.6974020161243438
fdiv,P4,unprotected,924,0.6987491457027496,8.631643898686513e-4,0.694464041713352,0.7029711128035122
fdiv,P4,partial,232,0.6941809940751525,0.0015319359531667655,0.6901798207823445,0.6981304716610576
fdiv,P4,protected,91,0.6963088749583515,0.0030634476852040527,0.691107878313287,0.7014710836910277
fdiv,P5,unprotected,924,0.6997182097458275,8.71761651391562e-4,0.6960927766519174,0.7032813600060107
fdiv,P5,partial,232,0.6949614583991135,0.0015187673695736812,0.691697193255878,0.6981661525326727
fdiv,P5,protected,91,0.6987544177778847,0.003037361310277421,0.6942549996589086,0.7032746676791851
fdiv_fund,P1,unprotected,924,0.7660417248456171,8.542823584393314e-4,0.7540715707014557,0.7777944297646436
fdiv_fund,P1,partial,232,0.764369239319055,0.0016039243939044766,0.7519635346185821,0.7770236695246161
fdiv_fund,P1,protected,91,0.7782262786300249,0.0022261903109560385,0.7655219239825137,0.7907961546978264
fdiv_fund,P2,unprotected,924,0.7654887816329177,8.619960184890014e-4,0.7544213191979515,0.776295923388238
fdiv_fund,P2,partial,232,0.7632063576709128,0.001614530612967569,0.7516893593401777,0.7750074153847778
fdiv_fund,P2,protected,91,0.776218028887611,0.0023828663038301507,0.7638537390601596,0.7890614399580794
fdiv_fund,P3,unprotected,924,0.765552370781315,8.540237601036633e-4,0.755767861914154,0.774833884226382
fdiv_fund,P3,partial,232,0.7632377098524089,0.0016099633769148308,0.7530525818752911,0.773323406877109
fdiv_fund,P3,protected,91,0.7764678684143503,0.0023328200428277606,0.7647852408043893,0.7877303477054368
fdiv_fund,P4,unprotected,924,0.7692986273247862,8.342926219478455e-4,0.7603705963405946,0.7779306132723834
fdiv_fund,P4,partial,232,0.767829785907176,0.0015483186000939827,0.7587113508366091,0.7772741137181522
fdiv_fund,P4,protected,91,0.7805852456666705,0.0021143836771978963,0.7696426589584998,0.7915395674192941
fdiv_fund,P5,unprotected,924,0.7694318631812794,7.332929989710958e-4,0.7620410579525579,0.7766128569735204
fdiv_fund,P5,partial,232,0.7672638110312349,0.0013499411236189435,0.7601723352091961,0.7744561431022624
fdiv_fund,P5,protected,91,0.7776316982950251,0.0019418996471755184,0.7687939835585328,0.7867360365925862
feve,P1,unprotected,924,0.16356632678897368,7.459506661054647e-4,0.159802033408339,0.16725188438461014
feve,P1,partial,232,0.16838666228628857,0.0011199181063544046,0.16474682539852187,0.17188032898285618
feve,P1,protected,91,0.1561162592485974,0.002231817524356316,0.15100244656576634,0.16123592060036393
feve,P2,unprotected,924,0.16530324051693712,7.160786087331065e-4,0.1620692995312494,0.1685062073066653
feve,P2,partial,232,0.17005440345273556,0.0010766918504738487,0.16699623736577363,0.1729712201658561
feve,P2,protected,91,0.15871961754377795,0.002151078990433625,0.154290045413552,0.1631053402602238
feve,P3,unprotected,924,0.16663423750086723,6.884518291999587e-4,0.1636989730333368,0.16959299000912412
feve,P3,partial,232,0.171235815323463,0.0010246630149213839,0.1685179624463788,0.17386845659633585
feve,P3,protected,91,0.16102020022502808,0.0020548901840118728,0.15692811930487896,0.16508917392286004
feve,P4,unprotected,924,0.16834757599538824,6.761753043588841e-4,0.1656629623016263,0.17103452590370816
feve,P4,partial,232,0.17281608141947455,0.0010150458578829377,0.17040007927587517,0.17517108196334835
feve,P4,protected,91,0.16311397433531347,0.0020058233057820107,0.1594301713758894,0.16679716752534374
feve,P5,unprotected,924,0.17065229354279138,6.387658452932745e-4,0.16824266047178338,0.1731064269640404
feve,P5,partial,232,0.17489359993114262,9.612298667764527e-4,0.17273000377512254,0.17704451585573835
feve,P5,protected,91,0.16627638912511644,0.0019071255772040608,0.16297768591666886,0.16966477201701796
feve_fund,P1,unprotected,924,0.33757532893075387,0.0014501668956667364,0.3132851187653363,0.362693316276189
feve_fund,P1,partial,232,0.3437140058478754,0.002635210061442888,0.3175608201476395,0.3706755654801573
feve_fund,P1,protected,91,0.36719886473716995,0.003964541765577983,0.3388274865607676,0.39779379181820207
feve_fund,P2,unprotected,924,0.33134460085915185,0.0015734780863624971,0.30943874131135113,0.3539689559763978
feve_fund,P2,partial,232,0.3388976154713198,0.00289584920275977,0.31569691699439945,0.3631027799056121
feve_fund,P2,protected,91,0.36739349027106993,0.004190650133859116,0.34057443123745695,0.39608349446618957
feve_fund,P3,unprotected,924,0.3207577796531302,0.00163854947966937,0.3013483057063212,0.34088030477627285
feve_fund,P3,partial,232,0.3255022840854463,0.0028761422827905396,0.3051510720416089,0.3466219850000649
feve_fund,P3,protected,91,0.3559558931710805,0.004460742627037426,0.33166827205442273,0.3816051589907078
feve_fund,P4,unprotected,924,0.3133769837467381,0.0016735188489416788,0.2958775068681486,0.3313851170032264
feve_fund,P4,partial,232,0.31853466668609726,0.0029465549547396854,0.300443731536154,0.3370512731744626
feve_fund,P4,protected,91,0.35139420916963476,0.004615484548797709,0.3292924965061249,0.3747692996772323
feve_fund,P5,unprotected,924,0.2927675301452242,0.0015344474692848375,0.27860519653145654,0.3070963836856243
feve_fund,P5,partial,232,0.2929576276120184,0.0025382485709749573,0.27905897935424434,0.30707830998175967
feve_fund,P5,protected,91,0.3244474870135818,0.004390435948158253,0.30656642260548983,0.34303407339329756
fmpd_prob,P1,unprotected,924,1.7180874131470718,0.003217469012142158,1.6929049480009817,1.7425972615567207
fmpd_prob,P1,partial,232,1.7299830267541725,0.005938893755338578,1.7063304021675736,1.753063814001186
fmpd_prob,P1,protected,91,1.7555279938098727,0.0122237964210426,1.7263266084651134,1.7835414290239417
fmpd_prob,P2,unprotected,924,1.7117353131502797,0.0031618580585995332,1.6896383148570326,1.733955486809348
fmpd_prob,P2,partial,232,1.7227919676966112,0.005860995555552108,1.702321982460195,1.743379984074733
fmpd_prob,P2,protected,91,1.7475101759196148,0.01201991164417981,1.7217228295134226,1.7727905667955517
fmpd_prob,P3,unprotected,924,1.708825796546351,0.003089457940259467,1.6889628678864166,1.7287401045333404
fmpd_prob,P3,partial,232,1.7182387608523864,0.005678723374312784,1.700246499873599,1.7364999472011735
fmpd_prob,P3,protected,91,1.7410644483064168,0.0118158523905046,1.717907509405173,1.7643300230653123
fmpd_prob,P4,unprotected,924,1.6964321924101549,0.0030593701615234895,1.6783179110019937,1.7148062172170109
fmpd_prob,P4,partial,232,1.705205462368814,0.005586155678665599,1.6888022889833787,1.7216510684910147
fmpd_prob,P4,protected,91,1.7215464272345147,0.011687467665389238,1.6999653701374848,1.7431093391250387
fmpd_prob,P5,unprotected,924,1.6911601541035552,0.002966281800822701,1.675533280178948,1.706898412619593
fmpd_prob,P5,partial,232,1.6998023981437076,0.005326646326326659,1.685913720250824,1.7138760466077865
fmpd_prob,P5,protected,91,1.7091447677692941,0.01111230539127445,1.6900371542439396,1.7279405629335536
fric_prob,P1,unprotected,924,8.436037736431746,0.021211103504751798,8.051496140696687,8.751506809089873
fric_prob,P1,partial,232,8.485720831582709,0.036824051245820714,8.078313582816941,8.796605956248689
fric_prob,P1,protected,91,8.464715943643064,0.07246829009699635,8.000404172861515,8.785389223906561
fric_prob,P2,unprotected,924,8.429557372236394,0.019862633103751744,8.100930406899526,8.723706563804361
fric_prob,P2,partial,232,8.496779021679417,0.03495409713590286,8.14351825196957,8.758821048924606
fric_prob,P2,protected,91,8.488537326469451,0.06660227058428266,8.076588200569233,8.780351518725093
fric_prob,P3,unprotected,924,8.463908046031563,0.019011357961040025,8.170202111084135,8.732925446380069
fric_prob,P3,partial,232,8.524885723404726,0.03350715986753143,8.238603842730534,8.76425905535709
fric_prob,P3,protected,91,8.522205579862739,0.06293935501586914,8.152440476960123,8.777894101563401
fric_prob,P4,unprotected,924,8.427900837256654,0.01816423022560511,8.14475267077133,8.683909065206695
fric_prob,P4,partial,232,8.481908604325904,0.032204400374786404,8.132738629174309,8.708625920126096
fric_prob,P4,protected,91,8.488932561062958,0.05833073191004801,8.10772367600787,8.741155714996108
fric_prob,P5,unprotected,924,8.536723019969388,0.01624389904314234,8.287255096094412,8.741261365317264
fric_prob,P5,partial,232,8.601610451738065,0.02728049563179286,8.363814543276412,8.773424144484807
fric_prob,P5,protected,91,8.58513429940029,0.05108359887567616,8.210148823307188,8.770829027223538
inv_simpson,P1,unprotected,924,107.34083517945193,1.002591203496537,104.89796296951125,109.77313273011885
inv_simpson,P1,partial,232,109.07622013114391,1.6493756660884271,106.55651447796265,111.5980026678187
inv_simpson,P1,protected,91,89.5659459588689,2.6184040787849665,87.07800539058007,92.07486372538669
inv_simpson,P2,unprotected,924,110.91964321559296,1.047314388647308,108.79220740657212,113.10852641773826
inv_simpson,P2,partial,232,113.20586875243693,1.742179501304136,110.991840457163,115.46343111135242
inv_simpson,P2,protected,91,92.83518781095552,2.755285411547357,90.54387728011181,95.13720472746445
inv_simpson,P3,unprotected,924,115.68172886105242,1.0843408689676013,113.78150297982857,117.55432851814707
inv_simpson,P3,partial,232,118.82759613103724,1.8191642396236427,116.8962200914773,120.73773811856692
inv_simpson,P3,protected,91,97.87418595776047,2.9138998668066836,95.82380514151785,99.91802351822152
inv_simpson,P4,unprotected,924,118.94318660191938,1.1186829249107055,117.23664579498067,120.62101640419762
inv_simpson,P4,partial,232,122.44855513241743,1.8962788846277299,120.70811967862515,124.12442960334837
inv_simpson,P4,protected,91,100.94873293527543,2.98890490041182,98.99634936071087,102.79838939526589
inv_simpson,P5,unprotected,924,127.0813001630273,1.1551372012770038,125.57333905595722,128.57614250675908
inv_simpson,P5,partial,232,131.45897898753338,1.9712577070625086,129.9514677758217,132.93908360797917
inv_simpson,P5,protected,91,109.88522523287254,3.098390361588459,108.10449511548259,111.62113289707293
mpd_prob,P1,unprotected,924,NA,NA,NA,NA
mpd_prob,P1,partial,232,NA,NA,NA,NA
mpd_prob,P1,protected,91,NA,NA,NA,NA
mpd_prob,P2,unprotected,924,NA,NA,NA,NA
mpd_prob,P2,partial,232,NA,NA,NA,NA
mpd_prob,P2,protected,91,NA,NA,NA,NA
mpd_prob,P3,unprotected,924,NA,NA,NA,NA
mpd_prob,P3,partial,232,NA,NA,NA,NA
mpd_prob,P3,protected,91,NA,NA,NA,NA
mpd_prob,P4,unprotected,924,NA,NA,NA,NA
mpd_prob,P4,partial,232,NA,NA,NA,NA
mpd_prob,P4,protected,91,NA,NA,NA,NA
mpd_prob,P5,unprotected,924,NA,NA,NA,NA
mpd_prob,P5,partial,232,NA,NA,NA,NA
mpd_prob,P5,protected,91,NA,NA,NA,NA
mpd_prob_mctavish,P1,unprotected,924,122.37005995570377,0.40345910181617195,120.82672370622214,123.89849899295872
mpd_prob_mctavish,P1,partial,232,121.18768338197196,0.7643042007412314,119.64679333409188,122.71520335422832
mpd_prob_mctavish,P1,protected,91,124.20102818126828,1.118839909360725,122.41608266412327,125.95698573051702
mpd_prob_mctavish,P2,unprotected,924,123.06427388038256,0.4001260335120179,121.74474166370855,124.36267881250913
mpd_prob_mctavish,P2,partial,232,121.9833210970165,0.7529663746851222,120.69092651166044,123.26478889964957
mpd_prob_mctavish,P2,protected,91,124.99634626596037,1.1065100342099872,123.47164137685903,126.48245662943509
mpd_prob_mctavish,P3,unprotected,924,123.35155395731327,0.38571154585987844,122.21285912637633,124.46628990177547
mpd_prob_mctavish,P3,partial,232,122.20495617228555,0.7275312908150512,121.10110844390958,123.29445347029669
mpd_prob_mctavish,P3,protected,91,125.14800505552545,1.0775069423146864,123.80691618133083,126.47362087322871
mpd_prob_mctavish,P4,unprotected,924,125.02302129984263,0.36618023412097744,124.05643303273281,125.98037974137881
mpd_prob_mctavish,P4,partial,232,124.11584345240496,0.684068218913472,123.18705281948425,125.03668603840498
mpd_prob_mctavish,P4,protected,91,127.1573329763181,0.9983496168099544,125.98442317862934,128.3085019636815
mpd_prob_mctavish,P5,unprotected,924,126.31755410518151,0.3266132984802439,125.57066875220124,127.05546500531355
mpd_prob_mctavish,P5,partial,232,125.40619432715621,0.6021033149849138,124.69716676052266,126.11023899165843
mpd_prob_mctavish,P5,protected,91,128.40971517257952,0.8835398468547334,127.48229985796907,129.3176741426942
pd_prob,P1,unprotected,924,NA,NA,NA,NA
pd_prob,P1,partial,232,NA,NA,NA,NA
pd_prob,P1,protected,91,NA,NA,NA,NA
pd_prob,P2,unprotected,924,NA,NA,NA,NA
pd_prob,P2,partial,232,NA,NA,NA,NA
pd_prob,P2,protected,91,NA,NA,NA,NA
pd_prob,P3,unprotected,924,NA,NA,NA,NA
pd_prob,P3,partial,232,NA,NA,NA,NA
pd_prob,P3,protected,91,NA,NA,NA,NA
pd_prob,P4,unprotected,924,NA,NA,NA,NA
pd_prob,P4,partial,232,NA,NA,NA,NA
pd_prob,P4,protected,91,NA,NA,NA,NA
pd_prob,P5,unprotected,924,NA,NA,NA,NA
pd_prob,P5,partial,232,NA,NA,NA,NA
pd_prob,P5,protected,91,NA,NA,NA,NA
pd_prob_mctavish,P1,unprotected,924,366883.61803555983,3610.7790538609293,356758.37385788315,376995.05034260324
pd_prob_mctavish,P1,partial,232,357067.7494165107,6037.960493034541,347065.02729421714,367109.5756575371
pd_prob_mctavish,P1,protected,91,291844.45647454605,8374.840991232219,282306.37458229926,301499.77539377677
pd_prob_mctavish,P2,unprotected,924,381190.7792518082,3797.741917294196,372382.4519145515,390283.4161512071
pd_prob_mctavish,P2,partial,232,371416.0808879383,6318.764401082284,362689.80017817614,380521.3126356824
pd_prob_mctavish,P2,protected,91,301888.62169062765,8689.636343942131,293272.57516532985,310757.97288038506
pd_prob_mctavish,P3,unprotected,924,402863.03432615875,4004.474941260829,394816.0702708747,410809.4154446644
pd_prob_mctavish,P3,partial,232,395130.38793773414,6609.5690393900295,387237.11342583655,402997.2804698467
pd_prob_mctavish,P3,protected,91,319988.8054294597,9244.430481099305,312146.2287916933,327963.33918679657
pd_prob_mctavish,P4,unprotected,924,418983.869386521,4168.530897621825,411496.0532431435,426409.6127262623
pd_prob_mctavish,P4,partial,232,411462.2332450121,6864.970944865745,404049.1635022761,418810.99878042267
pd_prob_mctavish,P4,protected,91,332827.14840237657,9499.285063565607,325128.05388776347,340292.50614656066
pd_prob_mctavish,P5,unprotected,924,464900.88094228145,4455.068255399609,458309.98303552606,471589.28815253614
pd_prob_mctavish,P5,partial,232,462811.94829127414,7263.881864235582,456408.8042458668,469355.72637509246
pd_prob_mctavish,P5,protected,91,377180.0529710542,10389.150959827944,370143.8072456916,384336.1573852933
rao_q,P1,unprotected,924,1.7003277963787504,0.0031851326823266867,1.6754211372481045,1.7245845852361428
rao_q,P1,partial,232,1.7130128634966688,0.0058757916627041416,1.6896056333760794,1.7358773801238248
rao_q,P1,protected,91,1.7342816813161694,0.011994609739438994,1.7054521055124756,1.7619378215093509
rao_q,P2,unprotected,924,1.6945760115161492,0.003133522803870996,1.672695798392897,1.7165761832140247
rao_q,P2,partial,232,1.7064773517444716,0.005810017578778342,1.6861936829301984,1.7268704166204567
rao_q,P2,protected,91,1.7270627803155247,0.011811111711844416,1.7016012570953158,1.7519643670060931
rao_q,P3,unprotected,924,1.6924282729207532,0.0030718907946312743,1.6727496821674583,1.7121448085718662
rao_q,P3,partial,232,1.7027554005033163,0.005651276676622912,1.684910154457306,1.720859635903553
rao_q,P3,protected,91,1.7217314950862845,0.01164338178899278,1.6988158740145314,1.7447316727502888
rao_q,P4,unprotected,924,1.6806402863369427,0.0030605240903424326,1.6626794413544477,1.6988307537618268
rao_q,P4,partial,232,1.690308298001705,0.0055905348394840355,1.6740318202003721,1.7066254191049377
rao_q,P4,protected,91,1.7030638523124402,0.011558060353405826,1.681703371538737,1.724373580721203
rao_q,P5,unprotected,924,1.6765773155081196,0.002991355381681577,1.6610667906647896,1.6921860907993842
rao_q,P5,partial,232,1.6860670124702035,0.00537248057380828,1.672257203371149,1.7000385276080425
rao_q,P5,protected,91,1.6924403534288972,0.011074226864358432,1.6734592902879504,1.711063415661368
raoq_fund,P1,unprotected,924,1.6926949478904305,0.0040375064030048514,1.6340090777768126,1.7495379257885717
raoq_fund,P1,partial,232,1.70946727437352,0.007702558412982254,1.6493219694704144,1.7669531309331818
raoq_fund,P1,protected,91,1.739459953502945,0.016054314961840947,1.6682754017876102,1.8060084072454954
raoq_fund,P2,unprotected,924,1.68350452950368,0.004018823659593908,1.6300876703111593,1.735828550079729
raoq_fund,P2,partial,232,1.6992345847750074,0.007657937028704087,1.6453147937168922,1.7516640714362202
raoq_fund,P2,protected,91,1.729154957675348,0.015888958750335514,1.664953678551604,1.791725328536279
raoq_fund,P3,unprotected,924,1.6824443406668124,0.003959648839218862,1.6329469104617613,1.7305008146690886
raoq_fund,P3,partial,232,1.694380569169869,0.00754491199772628,1.644993222198202,1.7421195549711335
raoq_fund,P3,protected,91,1.7226541052932833,0.016123047593567353,1.6625623482472078,1.7817520214976887
raoq_fund,P4,unprotected,924,1.6664316391461775,0.0038272004776908827,1.620085919910965,1.711241331037102
raoq_fund,P4,partial,232,1.6741831768295619,0.007179313973806263,1.6277553378439487,1.7187897010713225
raoq_fund,P4,protected,91,1.6961926563115384,0.015726980509472084,1.639350669739922,1.749935883686165
raoq_fund,P5,unprotected,924,1.6627000614352665,0.0036009733239720006,1.6243788230768899,1.70036032077689
raoq_fund,P5,partial,232,1.672050190771776,0.006451057161512349,1.6354309039069286,1.707152383305751
raoq_fund,P5,protected,91,1.6773250080198117,0.013529780961537553,1.6298036295268807,1.723060541634728
shannon,P1,unprotected,924,4.741324545766997,0.010111172885638616,4.720009414093554,4.761935522242405
shannon,P1,partial,232,4.783407267204269,0.01610353002609296,4.763027174198174,4.803184711876918
shannon,P1,protected,91,4.598988638381333,0.02799624341037677,4.573726770814219,4.623469240095519
shannon,P2,unprotected,924,4.7676327226700845,0.0101583475561256,4.748996699687662,4.786150703028527
shannon,P2,partial,232,4.813052530093859,0.01629883437896187,4.795376026873795,4.830582399746603
shannon,P2,protected,91,4.6296779392109135,0.028321222045137758,4.606793694979071,4.652057140398236
shannon,P3,unprotected,924,4.803071056056875,0.010059950371975648,4.786864488846298,4.818913690883906
shannon,P3,partial,232,4.852672486286247,0.01620433256872272,4.837656308239081,4.867157548762442
shannon,P3,protected,91,4.675697368334607,0.028351727170101523,4.655885070129743,4.695019511377247
shannon,P4,unprotected,924,4.824324580847945,0.010027034545766205,4.809584039367639,4.838696713798008
shannon,P4,partial,232,4.875215669641281,0.016299740061279655,4.8617637598171095,4.888165591720083
shannon,P4,protected,91,4.700781906658089,0.028193342028491455,4.68246690095654,4.718282265588186
shannon,P5,unprotected,924,4.878581020572242,0.00964274153412717,4.865784630031643,4.8911099183844975
shannon,P5,partial,232,4.9309736013953485,0.01573947298469076,4.919363234440272,4.942097305376124
shannon,P5,protected,91,4.770532226332285,0.027155951077520408,4.754428638923362,4.786015508382876
trait_dispersion,P1,unprotected,924,1.2506652370090154,0.002535166033290387,1.2303404481774032,1.2704814362483297
trait_dispersion,P1,partial,232,1.2631548062279079,0.004603100532997507,1.2440687553619707,1.2817465643409753
trait_dispersion,P1,protected,91,1.2891673150378717,0.009692531949824366,1.265734434264888,1.312076975262223
trait_dispersion,P2,unprotected,924,1.2442288961027224,0.0024519276729984547,1.2264913902153995,1.2620613079339649
trait_dispersion,P2,partial,232,1.2555327300594872,0.004450612605567111,1.2391206857800823,1.2721672048668826
trait_dispersion,P2,protected,91,1.2810914236562945,0.009390032024384425,1.2602498920444694,1.3017341177299764
trait_dispersion,P3,unprotected,924,1.2413583919854883,0.0023912864277068394,1.2256076050155191,1.257278696753049
trait_dispersion,P3,partial,232,1.2510363322486258,0.004297434436875425,1.2367946527862044,1.2655031664086074
trait_dispersion,P3,protected,91,1.2753784337077954,0.009273435420593848,1.2568189082422383,1.29407446165694
trait_dispersion,P4,unprotected,924,1.2334173026977082,0.0023460213846462166,1.2189036859783162,1.2480849529340154
trait_dispersion,P4,partial,232,1.2428273049013756,0.0041927833753913025,1.2297200352249968,1.2560265092915506
trait_dispersion,P4,protected,91,1.2612201123669176,0.009206988328335256,1.2438891207826444,1.2786587130567149
trait_dispersion,P5,unprotected,924,1.2314599356829594,0.0022719391007203034,1.219071948475699,1.2440054523484245
trait_dispersion,P5,partial,232,1.240591161358352,0.0039757541992545995,1.2296374437931776,1.2517380844963484
trait_dispersion,P5,protected,91,1.2523497549210347,0.00878729140712713,1.2370717870739654,1.2675763444812178
trait_volume,P1,unprotected,924,1.3793677625897238,0.0020806914328638107,1.3615728376243446,1.3968261161536728
trait_volume,P1,partial,232,1.386338309869473,0.0038654777291224876,1.3694033804395218,1.4029323063193746
trait_volume,P1,protected,91,1.4105396777800336,0.008055449373660956,1.389917583583772,1.4303666021854249
