period,species,mean_psi_inside,mean_psi_outside,psi_diff,habitat_breadth,sp_group
P1,Trochalopteron elliotii,0.329898804464262,0.22741195419630106,0.10248685026796095,2,specialist
P1,Parus monticolus,0.20595984704397688,0.1753800676865858,0.03057977935739109,2,specialist
P1,Phylloscopus fuscatus,0.43590912967925294,0.6232764298665485,-0.18736730018729558,2,specialist
P1,Myophonus caeruleus,0.20163681540330253,0.3246715888498002,-0.12303477344649766,2,specialist
P1,Pyrrhocorax pyrrhocorax,0.7613316805295524,0.44761935617922854,0.3137123243503238,8,generalist
P1,Ficedula zanthopygia,0.23345690883525463,0.46128736065513487,-0.22783045181988024,2,specialist
P1,Pericrocotus cantonensis,0.09513062604175754,0.3362999755278227,-0.24116934948606517,2,specialist
P1,Ixos mcclellandii,0.0336700330747566,0.19726870661953272,-0.1635986735447761,2,specialist
P1,Tringa nebularia,0.3018619340991318,0.4113423135219022,-0.10948037942277039,8,generalist
P1,Dicrurus hottentottus,0.1691855159771543,0.4071716868250887,-0.2379861708479344,2,specialist
P1,Gracupica nigricollis,0.01168452817983051,0.12164885750790327,-0.10996432932807276,8,generalist
P1,Tringa totanus,0.5154476264052232,0.4050205774360317,0.11042704896919153,8,generalist
P1,Hierococcyx sparverioides,0.09678532521510207,0.25588508713774677,-0.1590997619226447,2,specialist
P1,Leiothrix lutea,0.13199770879075884,0.2702736502996775,-0.13827594150891864,2,specialist
P1,Charadrius alexandrinus,0.29591001312700876,0.3498910876760832,-0.053981074549074415,8,generalist
P1,Dendrocitta formosae,0.024954807246267488,0.17516306795388217,-0.15020826070761467,5,specialist
P1,Aix galericulata,0.20316961834049385,0.3523774717025905,-0.14920785336209663,8,generalist
P1,Motacilla tschutschensis,0.48300791531354836,0.6420464192351517,-0.15903850392160335,8,generalist
P1,Falco amurensis,0.17910404839000305,0.2628559641553943,-0.08375191576539126,8,generalist
P1,Delichon dasypus,0.5257613918138788,0.5183881895632352,0.00737320225064364,5,specialist
P1,Lonchura striata,0.0540663414548705,0.280933730449439,-0.2268673889945685,8,generalist
P1,Garrulax canorus,0.0541860098326934,0.27414629361468146,-0.21996028378198806,5,specialist
P1,Amaurornis phoenicurus,0.08065908726440678,0.2891902103411701,-0.2085311230767633,5,specialist
P1,Lanius tephronotus,0.5529010239534489,0.3070576310833463,0.24584339287010254,8,generalist
P1,Columba livia,0.9617018796122906,0.9347490775351425,0.02695280207714812,8,generalist
P1,Phylloscopus claudiae,0.2256911916519984,0.2290000894484782,-0.003308897796479776,5,specialist
P1,Emberiza elegans,0.2114455345541363,0.36316816518443,-0.1517226306302937,8,generalist
P1,Gyps himalayensis,0.6344981950507701,0.3128220768162462,0.3216761182345239,8,generalist
P1,Recurvirostra avosetta,0.2285460967205801,0.2941675535813293,-0.06562145686074919,8,generalist
P1,Culicicapa ceylonensis,0.14785526575915967,0.18540406912169335,-0.03754880336253369,2,specialist
P1,Columba rupestris,0.8287235990646049,0.5285203854532512,0.3002032136113537,8,generalist
P1,Apus nipalensis,0.10377285921094209,0.21744234717244645,-0.11366948796150436,2,specialist
P1,Accipiter nisus,0.9428334026539634,0.7898797094820832,0.15295369317188023,2,specialist
P1,Tringa ochropus,0.5793951656493129,0.6639431719458984,-0.08454800629658543,8,generalist
P1,Phoenicurus ochruros,0.6681764118979971,0.31859519992561197,0.3495812119723852,8,generalist
P1,Turdus rubrocanus,0.5098985236445804,0.30666818428949144,0.203230339355089,2,specialist
P1,Carpodacus erythrinus,0.8432586944155779,0.6239473366873314,0.2193113577282465,5,specialist
P1,Psilopogon virens,0.048389134192361995,0.15066371763181305,-0.10227458343945106,2,specialist
P1,Gallinago gallinago,0.4038440601051612,0.5559179280619508,-0.15207386795678962,8,generalist
P1,Prinia flaviventris,0.010009924746133728,0.11655525167694512,-0.1065453269308114,8,generalist
P1,Motacilla citreola,0.7904401936745039,0.52965224982546,0.2607879438490439,8,generalist
P1,Accipiter soloensis,0.09345561570496984,0.3300012224567216,-0.23654560675175174,2,specialist
P1,Accipiter trivirgatus,0.06257182591029932,0.2736272891979574,-0.21105546328765812,2,specialist
P1,Cisticola juncidis,0.10571749954626293,0.37877974650307955,-0.27306224695681663,8,generalist
P1,Dicrurus leucophaeus,0.11879816506247368,0.2956095216733858,-0.1768113566109121,2,specialist
P1,Ardea intermedia,0.023887352584425297,0.0907578905148951,-0.0668705379304698,8,generalist
P1,Lonchura punctulata,0.025592416283699848,0.2151377832529182,-0.18954536696921837,5,specialist
P1,Orthotomus sutorius,0.011767228946853961,0.0944284084090015,-0.08266117946214754,5,specialist
P1,Falco subbuteo,0.6468090935323308,0.6641938790305585,-0.01738478549822764,8,generalist
P1,Pericrocotus ethologus,0.4109724108208488,0.2867172189819628,0.124255191838886,2,specialist
P1,Muscicapa sibirica,0.42444375068994394,0.68356689337868,-0.2591231426887361,2,specialist
P1,Picumnus innominatus,0.10302673881839967,0.28091408540168555,-0.17788734658328587,2,specialist
P1,Sternula albifrons,0.26733567960180293,0.347787765162044,-0.08045208556024108,8,generalist
P1,Butorides striata,0.10956988137962302,0.39101188902409895,-0.2814420076444759,8,generalist
P1,Yungipicus canicapillus,0.1071784564982974,0.19266196848619177,-0.08548351198789438,5,specialist
P1,Periparus ater,0.5315786258323515,0.48883863163325686,0.04273999419909463,2,specialist
P1,Phylloscopus magnirostris,0.3492504225138651,0.22820168305595287,0.12104873945791225,2,specialist
P1,Tarsiger cyanurus,0.36827683038894415,0.5897292545010099,-0.22145242411206573,2,specialist
P1,Cuculus sparverioides,0.24749254469758597,0.4495763265632436,-0.20208378186565762,5,specialist
P1,Cyanoderma ruficeps,0.03353624869343928,0.16111887890408097,-0.1275826302106417,2,specialist
P1,Eurystomus orientalis,0.08451665379085851,0.2921949026527847,-0.20767824886192618,5,specialist
P1,Anas carolinensis,0.45257417281512136,0.5267578527044746,-0.07418367988935326,8,generalist
P1,Acrocephalus bistrigiceps,0.12699113163130205,0.23463675150004093,-0.10764561986873888,8,generalist
P1,Centropus sinensis,0.010200310080162022,0.0768030468273463,-0.06660273674718428,5,specialist
P1,Buteo hemilasius,0.8319072507419886,0.556185435226399,0.2757218155155896,8,generalist
P1,Pycnonotus aurigaster,0.01538858078740904,0.0994594782980621,-0.08407089751065307,5,specialist
P1,Fringilla montifringilla,0.31949898417738787,0.4246503380394868,-0.10515135386209895,2,specialist
