species,method,mean,sd,q025,q25,median,q75,q975,p_positive,p_negative
Anthus cervinus,theil_sen,0.010475078240476828,0.01696491749062819,-0.0231679376986686,-5.12402423003204e-4,0.011012686778819596,0.020728017600211444,0.041202975283259655,0.7375,0.2625
Spinus spinus,theil_sen,0.028823456180393232,0.011942187997185015,0.006078310750419551,0.021046394627050692,0.029839903682636403,0.0367504673693191,0.05065119457390763,0.985,0.015
Trochalopteron affine,theil_sen,-0.01518893395164429,0.008184172537894507,-0.03162288698896027,-0.020326555958915114,-0.014464244939021976,-0.009448419568476498,-1.516138156103642e-4,0.025,0.975
Carpodacus waltoni,theil_sen,0.0013615185114399025,0.006009943971436006,-0.011008022400189723,-0.002600421604067905,0.001696269386708971,0.005831939169637626,0.011732929374249676,0.5925,0.4075
Delichon urbicum,theil_sen,0.040426732593299285,0.011285082093776953,0.01830258942061103,0.03356759398215914,0.041295013679101863,0.048986868591362795,0.058878601891561064,1,0
Apus salimalii,theil_sen,-0.0021054664544600484,0.0064286279832081236,-0.01498280127497286,-0.005908810158535581,-0.0023649234170605438,0.002432076711885136,0.009962147211490425,0.3625,0.6375
Emberiza rutila,theil_sen,0.03459920941588021,0.016017905691102896,3.7170132567061715e-4,0.024247568033275116,0.03435449379908321,0.04520466746761334,0.06573981916902075,0.975,0.025
Limnodromus semipalmatus,theil_sen,0.033115745300805126,0.010375954858664906,0.01159500998808962,0.026002231558362177,0.033823682748622276,0.03980355918170526,0.05194260299720532,0.9975,0.0025
Rhopophilus pekinensis,theil_sen,0.006142682314326297,0.009987830489198784,-0.013777925723495225,-2.5164810728723307e-4,0.006322889146872622,0.013454289370979793,0.024294318933457446,0.745,0.255
Petronia petronia,theil_sen,3.3462316560370174e-4,0.007395588184760082,-0.01395034233082913,-0.004512667174341548,3.866314831297568e-4,0.005045012611615624,0.014127663983197026,0.5175,0.4825
Luscinia calliope,theil_sen,0.022313331084986582,0.016560131459082205,-0.01082068859106336,0.012133976741202215,0.02284965220898858,0.032477795430766614,0.054076119863672036,0.9275,0.0725
Otocichla mupinensis,theil_sen,-0.008344419667894015,0.016112966162688418,-0.04269123580785534,-0.0189840800618307,-0.007054092364496033,0.003020320321715572,0.020754809620963224,0.31,0.69
Columba leuconota,theil_sen,0.004130396771534281,0.006189593244039249,-0.009256712142144548,3.4223897675762056e-4,0.004339039059335095,0.008604438737632062,0.01572582705857662,0.775,0.225
Dicaeum ignipectus,theil_sen,0.014258346082525488,0.0067819681558588685,0.0014911346612104328,0.009565208910688405,0.014373248329646093,0.018821182634280616,0.02692440330357372,0.985,0.015
Monticola rufiventris,theil_sen,0.015467028102250428,0.00873270489757104,-0.0028304343233213937,0.010078052557916318,0.015778268760149945,0.02179724871931868,0.03190745080640524,0.9525,0.0475
