species,protected_fraction,meets_30pct,habitat_breadth,trend_slope
Prinia flaviventris,0.02761466112854372,FALSE,8,0.01355677453883294
Motacilla citreola,0.07947024997623198,FALSE,8,0.03840226459013556
Accipiter soloensis,0.03838711717185226,FALSE,2,0.00811630742706953
Accipiter trivirgatus,0.0457709404749023,FALSE,2,0.02270826500575712
Cisticola juncidis,0.03613962272154524,FALSE,8,0.00242198641369513
Dicrurus leucophaeus,0.05420318910015826,FALSE,2,0.01638173806479763
Ardea intermedia,0.04568772186256146,FALSE,8,0.07581973426892323
Lonchura punctulata,0.036517410752219606,FALSE,5,0.02045066477768529
Orthotomus sutorius,0.030320903140141218,FALSE,5,0.01278741807517477
Falco subbuteo,0.06708153787619323,FALSE,8,0.02947407975830182
Pericrocotus ethologus,0.09041657150589975,FALSE,2,0.003270756816163
Muscicapa sibirica,0.05472569300652381,FALSE,2,0.00677480104210239
Picumnus innominatus,0.0496903675893145,FALSE,2,0.01580905012111773
Sternula albifrons,0.057114844337498,FALSE,8,0.03969769248738522
Butorides striata,0.03794368590345321,FALSE,8,0.01517566894783254
Yungipicus canicapillus,0.05284509445947472,FALSE,5,0.03363831978811646
Periparus ater,0.07162995217390378,FALSE,2,0.00329439809539376
Phylloscopus magnirostris,0.09728017537484869,FALSE,2,-0.00523323254015958
Tarsiger cyanurus,0.05620768675792634,FALSE,2,0.01675210762856647
Cuculus sparverioides,0.047613151844499095,FALSE,5,-0.00765339821350259
Cyanoderma ruficeps,0.04863351827072639,FALSE,2,0.0316504375868587
Eurystomus orientalis,0.0360341613597737,FALSE,5,0.01305677741133959
Anas carolinensis,0.06496540133684618,FALSE,8,0.05740827671828183
Acrocephalus bistrigiceps,0.04284403965387426,FALSE,8,0.05484156989550274
Centropus sinensis,0.032593390788544646,FALSE,5,0.01964394658126785
Buteo hemilasius,0.08483526244665182,FALSE,8,0.00885613834093369
Pycnonotus aurigaster,0.03846454919217412,FALSE,5,0.01708195397851535
Fringilla montifringilla,0.06192187461854561,FALSE,2,0.06664073944516005
Phylloscopus humei,0.09228753959279389,FALSE,2,0.01272447179515841
Apus pacificus,0.06329548163409672,FALSE,2,0.00507197275828642
Emberiza godlewskii,0.09749565718198906,FALSE,5,-7.572293084729202e-4
Tringa erythropus,0.057168403508066,FALSE,8,0.05451223360010664
Enicurus leschenaulti,0.049287938499696794,FALSE,8,0.01734104751654326
Phylloscopus borealis,0.05148367535310431,FALSE,2,-0.00765153010996206
Cuculus poliocephalus,0.05813838992369305,FALSE,2,4.49082623357341e-4
Phylloscopus coronatus,0.04457870168916812,FALSE,5,-0.00881914929563272
Phylloscopus trochiloides,0.10411815948252111,FALSE,2,0.00564225267435411
Pericrocotus solaris,0.04332399054903128,FALSE,5,0.02458831358513231
Aethopyga gouldiae,0.08469900247045559,FALSE,2,0.00991372865136851
Tringa stagnatilis,0.04879127983268766,FALSE,8,0.03429157992490053
Muscicapa dauurica,0.04476357908333843,FALSE,2,0.05368636692416788
Buteo japonicus,0.0642167960642603,FALSE,8,0.04047977451094634
Gelochelidon nilotica,0.05332641230813638,FALSE,8,0.04707241208762203
