mean,sd,q025,median,q975,metric,method,grid_cell,hfi_change_q
6.125748275020274,0.3459110034733768,5.5128633745086555,6.093471492227157,6.932063718038572,corrected_richness,ols,992,Q3
6.0155068789552315,0.34251061054935206,5.39780390597548,5.98715817922608,6.801672442428285,corrected_richness,ols,993,Q2
5.753764359447272,0.33501391353255505,5.101637435741779,5.753099337241597,6.4944840196069435,corrected_richness,ols,994,Q3
5.879867937180134,0.33737672381784223,5.214002335753508,5.877672333206778,6.5714323643877455,corrected_richness,ols,995,Q3
5.916994011065144,0.3545953129214764,5.257686875589172,5.889292432416732,6.6888890662905744,corrected_richness,ols,996,Q4 (high ΔHFI)
5.734368907373195,0.3395175577111592,5.037427692244991,5.710146155056005,6.398527295528775,corrected_richness,ols,997,Q3
5.785604931841058,0.3513697013730997,5.118173882147656,5.779760574925014,6.477377828865429,corrected_richness,ols,999,Q2
5.18208136261865,0.32626078813682086,4.509794645289477,5.170392296441598,5.825246709334275,corrected_richness,ols,1001,Q2
4.736701489419745,0.3335025604298547,4.053208686335603,4.762761957683528,5.360962124653569,corrected_richness,ols,1002,Q1 (low ΔHFI)
4.678217014735348,0.33496777726859667,3.989651846239005,4.696805199555282,5.269394067426871,corrected_richness,ols,1003,Q1 (low ΔHFI)
4.30565046095145,0.30172163291054016,3.711988049425747,4.310819512744224,4.898739488142714,corrected_richness,ols,1018,Q3
4.3597108191404645,0.2891658489376002,3.805555053571064,4.357000057345328,4.8855053827515915,corrected_richness,ols,1019,Q3
4.72138185545523,0.2889720666826494,4.199920452104869,4.719062281405675,5.315984773687542,corrected_richness,ols,1021,Q2
5.067103197247769,0.3129293908416769,4.473375439770623,5.051559178471597,5.676980593545199,corrected_richness,ols,1022,Q4 (high ΔHFI)
5.355003973861368,0.3022981977268029,4.804335124131446,5.341121540158003,5.946203348991454,corrected_richness,ols,1023,Q2
5.456244655659453,0.3020038286111166,4.856059544046588,5.455891734735637,6.045157883603457,corrected_richness,ols,1025,Q1 (low ΔHFI)
5.649873313229092,0.31739033885942963,5.065617910329135,5.646797046789383,6.272230413533238,corrected_richness,ols,1027,Q3
5.809717524974393,0.3189124512643783,5.18672337689954,5.804812472881178,6.423848514112267,corrected_richness,ols,1028,Q1 (low ΔHFI)
6.165668995286254,0.32584014050679305,5.548476198400513,6.174094573918529,6.798763809831802,corrected_richness,ols,1029,Q1 (low ΔHFI)
6.658103172057226,0.4062562046177123,5.8488527537688855,6.6477468885082285,7.459551705054934,corrected_richness,ols,1055,Q1 (low ΔHFI)
7.082231625374144,0.4173049887891344,6.291722111049131,7.0800245229754655,7.922496674666507,corrected_richness,ols,1057,Q1 (low ΔHFI)
8.125287488182115,0.41210513657270526,7.340008822708026,8.10764263706507,8.979650204042752,corrected_richness,ols,1058,Q1 (low ΔHFI)
5.737349564603482,0.39605976251179154,5.0251727784239915,5.752602978013657,6.557779613655382,corrected_richness,ols,1061,Q2
5.382514318810935,0.3727833137072442,4.640968605851877,5.409868744101065,6.086028488728804,corrected_richness,ols,1063,Q3
5.480625980717173,0.3743457918829263,4.813357007647227,5.450562646964643,6.213160222995791,corrected_richness,ols,1064,Q3
5.148125843281749,0.39729831337518384,4.3820180947355105,5.152705546212074,5.93657916212862,corrected_richness,ols,1065,Q3
5.055654827771887,0.37758966868787747,4.378550214559422,5.061540006883762,5.77986463713056,corrected_richness,ols,1066,Q3
5.620663248851963,0.3531313978176695,4.956472372799274,5.5976900426656995,6.330290644825874,corrected_richness,ols,1068,Q3
5.353260745600831,0.36215069283135937,4.680311116365909,5.361110923261538,6.068974191864729,corrected_richness,ols,1069,Q3
5.2240219842899895,0.356111799054895,4.53948680938186,5.212873777218612,5.917683933389901,corrected_richness,ols,1070,Q2
4.998785031424201,0.34012442317900654,4.377080418659711,5.005182059305963,5.700944673628425,corrected_richness,ols,1073,Q1 (low ΔHFI)
4.8307633330349695,0.33437051175931704,4.190433037344513,4.834075152395473,5.418400738952724,corrected_richness,ols,1075,Q1 (low ΔHFI)
4.76866951503667,0.3374125410421349,4.160579603902315,4.768701919717116,5.4435296801932305,corrected_richness,ols,1076,Q1 (low ΔHFI)
4.66427099310043,0.28530877685848,4.120543792022649,4.672358066720193,5.21989394603968,corrected_richness,ols,1089,Q2
4.803940208186113,0.2869987108659995,4.257456032114595,4.805469852847421,5.3468641136955055,corrected_richness,ols,1090,Q2
5.0953937652688035,0.30396338552845475,4.512642015171517,5.105996705494036,5.684597738031003,corrected_richness,ols,1091,Q3
