parameter,group,rhat,ess
beta.comm[261],beta.comm,1,74.9217763812671
beta.comm[262],beta.comm,1,78.5764663972898
beta.comm[263],beta.comm,1,75.15910622563071
beta.comm[264],beta.comm,1,98.61451596363462
beta.comm[265],beta.comm,1,76.25274649390698
beta.comm[266],beta.comm,1,78.15428974306059
beta.comm[267],beta.comm,1,77.75220907462516
beta.comm[268],beta.comm,1,60
beta.comm[269],beta.comm,1,121.74267635629965
beta.comm[270],beta.comm,1,60
beta.comm[271],beta.comm,1,75.30256295573639
beta.comm[272],beta.comm,1,103.09901827596181
beta.comm[273],beta.comm,1,76.02856171380186
beta.comm[274],beta.comm,1,123.117715907834
beta.comm[275],beta.comm,1,75.1441063289089
beta.comm[276],beta.comm,1,75.756478008067
beta.comm[277],beta.comm,1,95.97757142761252
beta.comm[278],beta.comm,1,94.03265200173233
beta.comm[279],beta.comm,1,74.15113526982884
beta.comm[280],beta.comm,1,76.32090026969118
beta.comm[281],beta.comm,1,60
beta.comm[282],beta.comm,1,60
beta.comm[283],beta.comm,1,107.29212589389138
beta.comm[284],beta.comm,1,97.52059820722164
beta.comm[285],beta.comm,1,122.75440983794985
beta.comm[286],beta.comm,1,75.71566487632516
beta.comm[287],beta.comm,1,90.73704870951212
beta.comm[288],beta.comm,1,107.7323860483039
beta.comm[289],beta.comm,1,60
beta.comm[290],beta.comm,1,89.07649341912267
beta.comm[291],beta.comm,1,79.12777300066249
beta.comm[292],beta.comm,1,60
beta.comm[293],beta.comm,1,90.2143107889907
beta.comm[294],beta.comm,1,75.30989463037128
beta.comm[295],beta.comm,1,110.69100738559597
beta.comm[296],beta.comm,1,91.49901616431953
beta.comm[297],beta.comm,1,91.05429913763376
beta.comm[298],beta.comm,1,96.56495168233415
beta.comm[299],beta.comm,1,137.60396600016074
beta.comm[300],beta.comm,1,112.45204163005157
beta.comm[301],beta.comm,1,92.06030930114004
beta.comm[302],beta.comm,1,76.05845611936395
beta.comm[303],beta.comm,1,79.38042887079541
beta.comm[304],beta.comm,1,81.56903239415527
beta.comm[305],beta.comm,1,112.17456955015763
beta.comm[306],beta.comm,1,116.07103762694835
beta.comm[307],beta.comm,1,133.41703270687714
beta.comm[308],beta.comm,1,92.25392148352287
beta.comm[309],beta.comm,1,116.39008269451361
beta.comm[310],beta.comm,1,109.05185828345526
beta.comm[311],beta.comm,1,98.63015396272559
beta.comm[312],beta.comm,1,77.04252278865931
beta.comm[313],beta.comm,1,60
beta.comm[314],beta.comm,1,116.63132540322813
beta.comm[315],beta.comm,1,60
beta.comm[316],beta.comm,1,77.65410429272443
beta.comm[317],beta.comm,1,74.77835160112326
beta.comm[318],beta.comm,1,111.79587178959622
beta.comm[319],beta.comm,1,60
