metric,period,age_class,n_grid,mean,se
fdis_prob,P4,mid(15-30a),107,1.2201935089664702,0.00655596866845252
fdis_prob,P4,old(>30a),214,1.252766720012286,0.0074994497454604556
fdis_prob,P4,unprotected,924,1.2249132887367096,0.00305115747025396
fdis_prob,P5,mid(15-30a),107,1.2200286407039167,0.005904589578102683
fdis_prob,P5,old(>30a),214,1.2427418368268832,0.006386480576585823
fdis_prob,P5,unprotected,924,1.22211397206714,0.0027809313835612617
fdiv,P1,mid(15-30a),107,0.6887503507396897,0.00231077071253547
fdiv,P1,old(>30a),214,0.6860355224790647,0.0018759989714423949
fdiv,P1,unprotected,924,0.6923957057123017,8.944645976923348e-4
fdiv,P2,mid(15-30a),107,0.6911467385134035,0.002196406992883921
fdiv,P2,old(>30a),214,0.6883507901735999,0.0018166900245736202
fdiv,P2,unprotected,924,0.6943876960200455,8.611590661105441e-4
fdiv,P3,mid(15-30a),107,0.6937069540151964,0.002076981079981455
fdiv,P3,old(>30a),214,0.6904278293810472,0.0018105647439609824
fdiv,P3,unprotected,924,0.6962195003000065,8.48139968875376e-4
fdiv,P4,mid(15-30a),107,0.696988369939092,0.002065525691453505
fdiv,P4,old(>30a),214,0.6935306323501532,0.001832822580602123
fdiv,P4,unprotected,924,0.6987491457027496,8.631643898686513e-4
fdiv,P5,mid(15-30a),107,0.6979528026585045,0.0020271550197626838
fdiv,P5,old(>30a),214,0.6948747992190533,0.0018254746865154334
fdiv,P5,unprotected,924,0.6997182097458275,8.71761651391562e-4
fdiv_fund,P1,mid(15-30a),107,0.7679581415678167,0.002278420409984799
fdiv_fund,P1,old(>30a),214,0.7680044184514074,0.0016751921098766018
fdiv_fund,P1,unprotected,924,0.7660417248456171,8.542823584393314e-4
fdiv_fund,P2,mid(15-30a),107,0.7666794957419992,0.002316578394827727
fdiv_fund,P2,old(>30a),214,0.766524404054654,0.0017006320563376365
fdiv_fund,P2,unprotected,924,0.7654887816329177,8.619960184890014e-4
fdiv_fund,P3,mid(15-30a),107,0.7665681778005872,0.0023228461576496142
fdiv_fund,P3,old(>30a),214,0.7667320048751282,0.0016850188943360932
fdiv_fund,P3,unprotected,924,0.765552370781315,8.540237601036633e-4
fdiv_fund,P4,mid(15-30a),107,0.7729597716237656,0.0021001967597188346
fdiv_fund,P4,old(>30a),214,0.7702436853115668,0.0016310681000890133
fdiv_fund,P4,unprotected,924,0.7692986273247862,8.342926219478455e-4
fdiv_fund,P5,mid(15-30a),107,0.7707600645158088,0.00182844225941182
fdiv_fund,P5,old(>30a),214,0.7695148771833983,0.0014373653706832854
fdiv_fund,P5,unprotected,924,0.7694318631812794,7.332929989710958e-4
feve,P1,mid(15-30a),107,0.16974421396216505,0.0015712809750356058
feve,P1,old(>30a),214,0.16294625180855388,0.0013446165267116015
feve,P1,unprotected,924,0.16356632678897368,7.459506661054647e-4
feve,P2,mid(15-30a),107,0.17137107547299182,0.0015268575544802668
feve,P2,old(>30a),214,0.16502551123525094,0.0012831527538533683
feve,P2,unprotected,924,0.16530324051693712,7.160786087331065e-4
feve,P3,mid(15-30a),107,0.17231994819959023,0.0014616777633508547
feve,P3,old(>30a),214,0.16678945469168246,0.0012153312105080986
feve,P3,unprotected,924,0.16663423750086723,6.884518291999587e-4
feve,P4,mid(15-30a),107,0.17346404290860948,0.0014514903395645704
feve,P4,old(>30a),214,0.16879979750273555,0.0011944555150536662
feve,P4,unprotected,924,0.16834757599538824,6.761753043588841e-4
feve,P5,mid(15-30a),107,0.17510979544756797,0.0013640847048898895
feve,P5,old(>30a),214,0.17153034201944223,0.001134701973727808
feve,P5,unprotected,924,0.17065229354279138,6.387658452932745e-4
feve_fund,P1,mid(15-30a),107,0.3481259851205779,0.00346185346261048
feve_fund,P1,old(>30a),214,0.3508804823276717,0.002937899774985594
feve_fund,P1,unprotected,924,0.33757532893075387,0.0014501668956667364
feve_fund,P2,mid(15-30a),107,0.34531006768964034,0.0037913130991295042
feve_fund,P2,old(>30a),214,0.3471097763329897,0.0032250087433591127
feve_fund,P2,unprotected,924,0.33134460085915185,0.0015734780863624971
feve_fund,P3,mid(15-30a),107,0.33055118459828675,0.0035222214717148875
feve_fund,P3,old(>30a),214,0.33519929438345064,0.003361216786904176
feve_fund,P3,unprotected,924,0.3207577796531302,0.00163854947966937
feve_fund,P4,mid(15-30a),107,0.323283798076544,0.003510245502400182
feve_fund,P4,old(>30a),214,0.32942644167618707,0.003502048927946315
feve_fund,P4,unprotected,924,0.3133769837467381,0.0016735188489416788
feve_fund,P5,mid(15-30a),107,0.2951858256312208,0.002957603864325415
feve_fund,P5,old(>30a),214,0.3045482392754415,0.0031563644263075718
feve_fund,P5,unprotected,924,0.2927675301452242,0.0015344474692848375
fmpd_prob,P1,mid(15-30a),107,1.7180830756090335,0.00803055902279076
fmpd_prob,P1,old(>30a),214,1.7470609984373373,0.007196452191135729
fmpd_prob,P1,unprotected,924,1.7180874131470718,0.003217469012142158
fmpd_prob,P2,mid(15-30a),107,1.7106416609145036,0.0079006824220900565
fmpd_prob,P2,old(>30a),214,1.7395776218449313,0.007092487283697609
fmpd_prob,P2,unprotected,924,1.7117353131502797,0.0031618580585995332
fmpd_prob,P3,mid(15-30a),107,1.7053654394898916,0.007488518381989252
fmpd_prob,P3,old(>30a),214,1.734610340359428,0.0069552239601637445
