mean,sd,q025,median,q975,metric,grid_cell
1,0,1,1,1,synchrony,1172
1,0,1,1,1,synchrony,1173
1,0,1,1,1,synchrony,1175
1,0,1,1,1,synchrony,1196
1,0,1,1,1,synchrony,1197
1,0,1,1,1,synchrony,1198
1,0,1,1,1,synchrony,1199
1,0,1,1,1,synchrony,1200
1,0,1,1,1,synchrony,1201
1,0,1,1,1,synchrony,1202
1,0,1,1,1,synchrony,1203
1,0,1,1,1,synchrony,1204
1,0,1,1,1,synchrony,1205
1,0,1,1,1,synchrony,1206
1,0,1,1,1,synchrony,1207
1,0,1,1,1,synchrony,1208
1,0,1,1,1,synchrony,1209
1,0,1,1,1,synchrony,1210
1,0,1,1,1,synchrony,1211
1,0,1,1,1,synchrony,1212
1,0,1,1,1,synchrony,1213
1,0,1,1,1,synchrony,1214
1,0,1,1,1,synchrony,1215
1,0,1,1,1,synchrony,1216
1,0,1,1,1,synchrony,1234
1,0,1,1,1,synchrony,1235
1,0,1,1,1,synchrony,1236
1,0,1,1,1,synchrony,1237
1,0,1,1,1,synchrony,1238
1,0,1,1,1,synchrony,1239
1,0,1,1,1,synchrony,1240
1,0,1,1,1,synchrony,1241
1,0,1,1,1,synchrony,1242
1,0,1,1,1,synchrony,1243
1,0,1,1,1,synchrony,1244
1,0,1,1,1,synchrony,1246
1,0,1,1,1,synchrony,1247
1,0,1,1,1,synchrony,1248
1,0,1,1,1,synchrony,1249
1,0,1,1,1,synchrony,1268
1,0,1,1,1,synchrony,1269
1,0,1,1,1,synchrony,1270
1,0,1,1,1,synchrony,1271
1,0,1,1,1,synchrony,1272
1,0,1,1,1,synchrony,1273
1,0,1,1,1,synchrony,1274
1,0,1,1,1,synchrony,1275
1,0,1,1,1,synchrony,1276
1,0,1,1,1,synchrony,1277
1,0,1,1,1,synchrony,1279
1,0,1,1,1,synchrony,1280
1,0,1,1,1,synchrony,1281
1,0,1,1,1,synchrony,1282
1,0,1,1,1,synchrony,1283
1,0,1,1,1,synchrony,1284
1,0,1,1,1,synchrony,1286
1,0,1,1,1,synchrony,1287
1,0,1,1,1,synchrony,1288
1,0,1,1,1,synchrony,1289
1,0,1,1,1,synchrony,1305
1,0,1,1,1,synchrony,1306
1,0,1,1,1,synchrony,1307
1,0,1,1,1,synchrony,1308
1,0,1,1,1,synchrony,1309
1,0,1,1,1,synchrony,1312
1,0,1,1,1,synchrony,1313
1,0,1,1,1,synchrony,1314
1,0,1,1,1,synchrony,1315
1,0,1,1,1,synchrony,1316
1,0,1,1,1,synchrony,1319
1,0,1,1,1,synchrony,1320
1,0,1,1,1,synchrony,1321
1,0,1,1,1,synchrony,1322
1,0,1,1,1,synchrony,1328
1,0,1,1,1,synchrony,1339
1,0,1,1,1,synchrony,1340
1,0,1,1,1,synchrony,1341
1,0,1,1,1,synchrony,1344
1,0,1,1,1,synchrony,1345
1,0,1,1,1,synchrony,1346
1,0,1,1,1,synchrony,1348
1,0,1,1,1,synchrony,1349
1,0,1,1,1,synchrony,1351
1,0,1,1,1,synchrony,1352
1,0,1,1,1,synchrony,1353
1,0,1,1,1,synchrony,1354
1,0,1,1,1,synchrony,1355
1,0,1,1,1,synchrony,1357
1,0,1,1,1,synchrony,1358
1,0,1,1,1,synchrony,1359
1,0,1,1,1,synchrony,1360
1,0,1,1,1,synchrony,1361
